fy_quarter,vintage,region,Energy_TWA,Solar_DWA_PreCurt,Wind_DWA_PreCurt,Solar_DWA_PostCurt0,Wind_DWA_PostCurt0,Solar_DWA_PostCurtLGC,Wind_DWA_PostCurtLGC,LGC,Spread_4hr,Spread_2hr,Spread_1hr,Spread_Half-hourly
FY2025-Q1,August_24,NSW,119.58,54.09,116.44,71.98,127.63,56.07,118.06,41.03,155,208.69,283.33,404.06
FY2025-Q2,August_24,NSW,91.43,50.7,93.25,68.68,103.85,52.87,94.64,41.03,155,208.69,283.33,404.06
FY2025-Q3,August_24,NSW,87.23,60.41,86.47,66.22,90.25,61.67,87.78,41.03,155,208.69,283.33,404.06
FY2025-Q4,August_24,NSW,107.22,48.26,102.15,67.38,111.04,53.43,104.95,41.03,155,208.69,283.33,404.06
FY2026-Q1,August_24,NSW,119.36,57.02,113.91,69.61,122.27,59.84,116,33.8,170.54,235.86,319.56,418.02
FY2026-Q2,August_24,NSW,88.44,48.07,89,63.47,98.32,50.64,90.57,33.8,170.54,235.86,319.56,418.02
FY2026-Q3,August_24,NSW,105.09,68.49,96.58,71.47,99.22,69.23,97.51,33.8,170.54,235.86,319.56,418.02
FY2026-Q4,August_24,NSW,106.41,57.95,104,73.5,110.73,63.18,106.6,33.8,170.54,235.86,319.56,418.02
FY2027-Q1,August_24,NSW,114.01,55.5,105.87,63.42,111.03,56.67,106.84,29.36,137.31,189.15,272.41,375.81
FY2027-Q2,August_24,NSW,76.29,42.46,77.1,54.85,84.94,43.47,77.71,29.36,137.31,189.15,272.41,375.81
FY2027-Q3,August_24,NSW,77.73,50.72,76.28,54.34,78.89,51.47,77.1,29.36,137.31,189.15,272.41,375.81
FY2027-Q4,August_24,NSW,96.68,51.39,91.75,63.3,97.18,54.7,93.37,29.36,137.31,189.15,272.41,375.81
FY2028-Q1,August_24,NSW,119.79,62.91,110.87,70.31,115.96,64.32,111.96,24.89,135.03,183.48,251.36,334.15
FY2028-Q2,August_24,NSW,78.73,48.13,77.96,56.07,83.16,49.77,78.83,24.89,135.03,183.48,251.36,334.15
FY2028-Q3,August_24,NSW,84.03,58.84,83.24,60.06,84.49,59.53,84.07,24.89,135.03,183.48,251.36,334.15
FY2028-Q4,August_24,NSW,107.84,60.47,102.07,69.85,106.44,64.09,103.92,24.89,135.03,183.48,251.36,334.15
FY2029-Q1,August_24,NSW,121.79,58.45,108.88,71.47,117.97,62.43,111.84,21.16,163.22,225.37,310.75,414.51
FY2029-Q2,August_24,NSW,74.93,39.66,73.81,56.94,84.18,47,78.49,21.16,163.22,225.37,310.75,414.51
FY2029-Q3,August_24,NSW,92.04,58.38,86.91,65.18,92.2,60.67,88.45,21.16,163.22,225.37,310.75,414.51
FY2029-Q4,August_24,NSW,123.69,59.88,111.1,74.01,118.06,64.97,113.67,21.16,163.22,225.37,310.75,414.51
FY2030-Q1,August_24,NSW,104.12,56.3,94.98,63.67,100.93,58.61,96.94,15.61,129.94,174.46,239.5,331.86
FY2030-Q2,August_24,NSW,66.41,38.23,65.29,48,71.58,41.44,67.33,15.61,129.94,174.46,239.5,331.86
FY2030-Q3,August_24,NSW,85.32,54.11,76.27,61.99,82.6,58.24,79.09,15.61,129.94,174.46,239.5,331.86
FY2030-Q4,August_24,NSW,103.21,55.56,95.46,66.39,100.67,58.59,97.15,15.61,129.94,174.46,239.5,331.86
FY2031-Q1,August_24,NSW,93.75,57.6,87.04,58.66,87.8,57.72,87.1,10.57,97.72,135.78,189.2,265.52
FY2031-Q2,August_24,NSW,66.03,45.27,64.48,45.82,64.9,45.3,64.5,10.57,97.72,135.78,189.2,265.52
FY2031-Q3,August_24,NSW,64.92,47.13,62.91,48.02,63.57,47.63,63.26,10.57,97.72,135.78,189.2,265.52
FY2031-Q4,August_24,NSW,82.49,55.14,79.27,56.81,80.08,55.17,79.28,10.57,97.72,135.78,189.2,265.52
FY2032-Q1,August_24,NSW,97.7,63.53,92.32,64.46,92.98,63.76,92.47,9.51,107.8,151.5,213.16,294.96
FY2032-Q2,August_24,NSW,66.05,47.28,64.99,47.81,65.37,47.35,65.05,9.51,107.8,151.5,213.16,294.96
FY2032-Q3,August_24,NSW,77.53,54.27,78.22,55.26,79.07,54.59,78.53,9.51,107.8,151.5,213.16,294.96
FY2032-Q4,August_24,NSW,100.01,63.23,102.75,64.48,103.49,63.35,102.82,9.51,107.8,151.5,213.16,294.96
FY2033-Q1,August_24,NSW,107.26,66.51,97.32,67.88,98.29,66.62,97.4,8.46,111.33,154.96,220.45,319.97
FY2033-Q2,August_24,NSW,71.1,48,67.05,48.7,67.63,48.04,67.08,8.46,111.33,154.96,220.45,319.97
FY2033-Q3,August_24,NSW,81.57,60.42,77.14,61.88,78.32,61.01,77.53,8.46,111.33,154.96,220.45,319.97
FY2033-Q4,August_24,NSW,97.34,65.03,91.23,65.66,91.54,65.03,91.23,8.46,111.33,154.96,220.45,319.97
FY2034-Q1,August_24,NSW,115.17,66.41,103.05,68.34,104.62,66.5,103.15,7.4,124.69,170.47,239.9,346.71
FY2034-Q2,August_24,NSW,67.24,43.66,62.95,45.21,64.19,44.28,63.48,7.4,124.69,170.47,239.9,346.71
FY2034-Q3,August_24,NSW,102.02,75.69,97.21,77.51,98.4,76.22,97.52,7.4,124.69,170.47,239.9,346.71
FY2034-Q4,August_24,NSW,114.27,72.61,106.41,73.66,107.03,72.83,106.53,7.4,124.69,170.47,239.9,346.71
FY2035-Q1,August_24,NSW,113.99,74.26,98.53,77.1,100.83,74.86,99,6.34,126.75,174.45,249.19,343.84
FY2035-Q2,August_24,NSW,63.75,41.46,60.07,43.51,61.63,42.48,60.89,6.34,126.75,174.45,249.19,343.84
FY2035-Q3,August_24,NSW,98.01,72,94.16,73.83,95.54,72.61,94.59,6.34,126.75,174.45,249.19,343.84
FY2035-Q4,August_24,NSW,114.46,78.48,106.18,79.56,106.84,78.69,106.31,6.34,126.75,174.45,249.19,343.84
FY2036-Q1,August_24,NSW,131.26,65.39,113.22,72.84,119.63,69.23,116.62,5.29,161.35,220.69,308.72,451.52
FY2036-Q2,August_24,NSW,63.76,36.5,61.35,40.56,64.48,38.69,63.03,5.29,161.35,220.69,308.72,451.52
FY2036-Q3,August_24,NSW,120.04,84.01,113.99,90.05,118.36,86.07,115.68,5.29,161.35,220.69,308.72,451.52
FY2036-Q4,August_24,NSW,142.35,81.11,128.87,84.77,131.23,82.97,130.16,5.29,161.35,220.69,308.72,451.52
FY2037-Q1,August_24,NSW,122.69,63.15,107.08,69.77,112.77,66.65,110.17,4.23,163.86,226.07,322.44,450.75
FY2037-Q2,August_24,NSW,57.74,34.39,55.03,38.81,58.03,37.1,56.89,4.23,163.86,226.07,322.44,450.75
FY2037-Q3,August_24,NSW,123.73,88.95,115.15,96.23,120.03,92.75,117.67,4.23,163.86,226.07,322.44,450.75
FY2037-Q4,August_24,NSW,154.2,80.37,137.18,84.08,139.86,81.82,138.33,4.23,163.86,226.07,322.44,450.75
FY2038-Q1,August_24,NSW,134.6,63.06,112.46,69.89,118.42,66.79,115.78,3.17,168.07,233.17,323.47,433.7
FY2038-Q2,August_24,NSW,57.16,34.39,54.6,38.8,57.59,37.39,56.59,3.17,168.07,233.17,323.47,433.7
FY2038-Q3,August_24,NSW,124.09,82.77,118.67,89.1,123.45,86.49,121.42,3.17,168.07,233.17,323.47,433.7
FY2038-Q4,August_24,NSW,149.92,81.47,140.54,84.96,142.91,83.01,141.67,3.17,168.07,233.17,323.47,433.7
FY2039-Q1,August_24,NSW,137.47,64.81,114.52,70.61,119.6,68.55,117.78,2.11,168.14,234.38,329.23,463.79
FY2039-Q2,August_24,NSW,56.66,34.68,54.65,38.71,57.36,37.58,56.56,2.11,168.14,234.38,329.23,463.79
FY2039-Q3,August_24,NSW,123.83,89.01,117.41,94.29,121.25,92.39,119.86,2.11,168.14,234.38,329.23,463.79
FY2039-Q4,August_24,NSW,153.05,85.49,139.04,88.32,141.15,86.97,140.18,2.11,168.14,234.38,329.23,463.79
FY2040-Q1,August_24,NSW,142.87,67.03,116.09,71.81,120.34,70.85,119.58,1.06,168.61,230.43,315.05,446.3
FY2040-Q2,August_24,NSW,56.39,34.34,54.33,36.82,56.17,36.24,55.68,1.06,168.61,230.43,315.05,446.3
FY2040-Q3,August_24,NSW,128.91,87.71,123.44,89.98,125.48,89.27,124.89,1.06,168.61,230.43,315.05,446.3
FY2040-Q4,August_24,NSW,150.56,87.78,136.22,89.95,137.73,89.47,137.44,1.06,168.61,230.43,315.05,446.3
FY2041-Q1,August_24,NSW,128.51,70.07,111.95,73.53,114.88,72.77,114.35,1.06,150.73,202.33,285.57,405.79
