date,value,region,vintage
2024-07,143.62,NSW,August_24
2024-08,115.04,NSW,August_24
2024-09,100.09,NSW,August_24
2024-10,99.89,NSW,August_24
2024-11,87.88,NSW,August_24
2024-12,86.52,NSW,August_24
2025-01,81.46,NSW,August_24
2025-02,83.31,NSW,August_24
2025-03,96.92,NSW,August_24
2025-04,83.65,NSW,August_24
2025-05,86.48,NSW,August_24
2025-06,151.52,NSW,August_24
2025-07,141.16,NSW,August_24
2025-08,117.92,NSW,August_24
2025-09,99.0,NSW,August_24
2025-10,93.86,NSW,August_24
2025-11,89.46,NSW,August_24
2025-12,82.01,NSW,August_24
2026-01,122.46,NSW,August_24
2026-02,86.61,NSW,August_24
2026-03,106.21,NSW,August_24
2026-04,83.75,NSW,August_24
2026-05,87.32,NSW,August_24
2026-06,148.16,NSW,August_24
2026-07,131.31,NSW,August_24
2026-08,118.96,NSW,August_24
2026-09,91.77,NSW,August_24
2026-10,82.53,NSW,August_24
2026-11,73.21,NSW,August_24
2026-12,73.14,NSW,August_24
2027-01,70.09,NSW,August_24
2027-02,69.54,NSW,August_24
2027-03,93.57,NSW,August_24
2027-04,83.6,NSW,August_24
2027-05,79.81,NSW,August_24
2027-06,126.62,NSW,August_24
2027-07,151.38,NSW,August_24
2027-08,113.79,NSW,August_24
2027-09,94.19,NSW,August_24
2027-10,83.13,NSW,August_24
2027-11,78.68,NSW,August_24
2027-12,74.39,NSW,August_24
2028-01,73.63,NSW,August_24
2028-02,76.71,NSW,August_24
2028-03,101.75,NSW,August_24
2028-04,86.07,NSW,August_24
2028-05,95.01,NSW,August_24
2028-06,142.43,NSW,August_24
2028-07,134.03,NSW,August_24
2028-08,139.96,NSW,August_24
2028-09,91.37,NSW,August_24
2028-10,81.88,NSW,August_24
2028-11,71.39,NSW,August_24
2028-12,71.52,NSW,August_24
2029-01,83.72,NSW,August_24
2029-02,81.53,NSW,August_24
2029-03,110.87,NSW,August_24
2029-04,96.2,NSW,August_24
2029-05,84.72,NSW,August_24
2029-06,190.14,NSW,August_24
2029-07,119.36,NSW,August_24
2029-08,109.69,NSW,August_24
2029-09,83.3,NSW,August_24
2029-10,73.49,NSW,August_24
2029-11,63.84,NSW,August_24
2029-12,61.91,NSW,August_24
2030-01,78.49,NSW,August_24
2030-02,81.66,NSW,August_24
2030-03,95.8,NSW,August_24
2030-04,85.09,NSW,August_24
2030-05,73.32,NSW,August_24
2030-06,151.22,NSW,August_24
2030-07,98.85,NSW,August_24
2030-08,98.99,NSW,August_24
2030-09,83.41,NSW,August_24
2030-10,73.83,NSW,August_24
2030-11,65.05,NSW,August_24
2030-12,59.2,NSW,August_24
2031-01,57.73,NSW,August_24
2031-02,60.28,NSW,August_24
2031-03,76.74,NSW,August_24
2031-04,70.45,NSW,August_24
2031-05,71.24,NSW,August_24
2031-06,105.79,NSW,August_24
2031-07,109.46,NSW,August_24
2031-08,100.35,NSW,August_24
2031-09,83.29,NSW,August_24
2031-10,77.6,NSW,August_24
2031-11,61.66,NSW,August_24
2031-12,58.89,NSW,August_24
2032-01,60.67,NSW,August_24
2032-02,72.02,NSW,August_24
2032-03,99.91,NSW,August_24
2032-04,85.72,NSW,August_24
2032-05,75.12,NSW,August_24
2032-06,139.18,NSW,August_24
2032-07,117.9,NSW,August_24
2032-08,118.0,NSW,August_24
2032-09,85.87,NSW,August_24
2032-10,78.85,NSW,August_24
2032-11,61.69,NSW,August_24
2032-12,72.76,NSW,August_24
2033-01,71.07,NSW,August_24
2033-02,78.26,NSW,August_24
2033-03,95.38,NSW,August_24
2033-04,87.97,NSW,August_24
2033-05,79.46,NSW,August_24
2033-06,124.58,NSW,August_24
2033-07,133.27,NSW,August_24
2033-08,129.93,NSW,August_24
2033-09,82.31,NSW,August_24
2033-10,73.93,NSW,August_24
2033-11,58.38,NSW,August_24
2033-12,69.42,NSW,August_24
2034-01,83.38,NSW,August_24
2034-02,98.75,NSW,August_24
2034-03,123.92,NSW,August_24
2034-04,109.42,NSW,August_24
2034-05,88.69,NSW,August_24
2034-06,144.69,NSW,August_24
2034-07,122.38,NSW,August_24
2034-08,137.0,NSW,August_24
2034-09,82.58,NSW,August_24
2034-10,77.0,NSW,August_24
2034-11,60.03,NSW,August_24
2034-12,54.23,NSW,August_24
2035-01,77.56,NSW,August_24
2035-02,95.96,NSW,August_24
2035-03,120.5,NSW,August_24
2035-04,109.95,NSW,August_24
2035-05,84.65,NSW,August_24
2035-06,148.79,NSW,August_24
2035-07,159.09,NSW,August_24
2035-08,140.8,NSW,August_24
2035-09,93.9,NSW,August_24
2035-10,69.6,NSW,August_24
2035-11,59.45,NSW,August_24
2035-12,62.24,NSW,August_24
2036-01,101.95,NSW,August_24
2036-02,106.95,NSW,August_24
2036-03,151.21,NSW,August_24
2036-04,133.09,NSW,August_24
2036-05,119.66,NSW,August_24
2036-06,174.3,NSW,August_24
2036-07,143.46,NSW,August_24
2036-08,135.28,NSW,August_24
2036-09,89.32,NSW,August_24
2036-10,69.88,NSW,August_24
2036-11,50.58,NSW,August_24
2036-12,52.76,NSW,August_24
2037-01,92.93,NSW,August_24
2037-02,117.54,NSW,August_24
2037-03,160.71,NSW,August_24
2037-04,135.69,NSW,August_24
2037-05,118.08,NSW,August_24
2037-06,208.84,NSW,August_24
2037-07,167.51,NSW,August_24
2037-08,148.02,NSW,August_24
2037-09,88.27,NSW,August_24
2037-10,66.83,NSW,August_24
2037-11,50.53,NSW,August_24
2037-12,54.11,NSW,August_24
2038-01,111.63,NSW,August_24
2038-02,112.3,NSW,August_24
2038-03,148.33,NSW,August_24
2038-04,137.24,NSW,August_24
2038-05,113.61,NSW,August_24
2038-06,198.91,NSW,August_24
2038-07,180.41,NSW,August_24
2038-08,146.59,NSW,August_24
2038-09,85.41,NSW,August_24
2038-10,65.36,NSW,August_24
2038-11,51.01,NSW,August_24
2038-12,53.61,NSW,August_24
2039-01,103.96,NSW,August_24
2039-02,110.69,NSW,August_24
2039-03,156.85,NSW,August_24
2039-04,139.44,NSW,August_24
2039-05,129.89,NSW,August_24
2039-06,189.82,NSW,August_24
2039-07,198.17,NSW,August_24
2039-08,149.05,NSW,August_24
2039-09,81.4,NSW,August_24
2039-10,64.05,NSW,August_24
2039-11,50.69,NSW,August_24
2039-12,54.44,NSW,August_24
2040-01,113.78,NSW,August_24
2040-02,114.22,NSW,August_24
2040-03,158.73,NSW,August_24
2040-04,141.69,NSW,August_24
2040-05,121.62,NSW,August_24
2040-06,188.37,NSW,August_24
2040-07,154.82,NSW,August_24
2040-08,141.08,NSW,August_24
2040-09,89.64,NSW,August_24
2040-10,64.84,NSW,August_24
2040-11,45.93,NSW,August_24
2040-12,55.44,NSW,August_24
2041-01,101.73,NSW,August_24
2041-02,112.87,NSW,August_24
2041-03,172.31,NSW,August_24
2041-04,142.54,NSW,August_24
