year,value,region,duration,vintage
2025,404.06,NSW,Half-hourly,August_24
2026,418.02,NSW,Half-hourly,August_24
2027,375.81,NSW,Half-hourly,August_24
2028,334.15,NSW,Half-hourly,August_24
2029,414.51,NSW,Half-hourly,August_24
2030,331.86,NSW,Half-hourly,August_24
2031,265.52,NSW,Half-hourly,August_24
2032,294.96,NSW,Half-hourly,August_24
2033,319.97,NSW,Half-hourly,August_24
2034,346.71,NSW,Half-hourly,August_24
2035,343.84,NSW,Half-hourly,August_24
2036,451.52,NSW,Half-hourly,August_24
2037,450.75,NSW,Half-hourly,August_24
2038,433.7,NSW,Half-hourly,August_24
2039,463.79,NSW,Half-hourly,August_24
2040,446.3,NSW,Half-hourly,August_24
2041,405.79,NSW,Half-hourly,August_24
2042,407.16,NSW,Half-hourly,August_24
2043,380.96,NSW,Half-hourly,August_24
2044,450.93,NSW,Half-hourly,August_24
2045,424.49,NSW,Half-hourly,August_24
2046,444.67,NSW,Half-hourly,August_24
2047,431.2,NSW,Half-hourly,August_24
2048,438.46,NSW,Half-hourly,August_24
2049,451.77,NSW,Half-hourly,August_24
2050,439.22,NSW,Half-hourly,August_24
2051,455.11,NSW,Half-hourly,August_24
2052,437.94,NSW,Half-hourly,August_24
2053,412.32,NSW,Half-hourly,August_24
2054,428.6,NSW,Half-hourly,August_24
2055,426.25,NSW,Half-hourly,August_24
2056,410.41,NSW,Half-hourly,August_24
2057,412.47,NSW,Half-hourly,August_24
2058,440.91,NSW,Half-hourly,August_24
2059,395.57,NSW,Half-hourly,August_24
2060,405.78,NSW,Half-hourly,August_24
2025,283.33,NSW,1hr,August_24
2026,319.56,NSW,1hr,August_24
2027,272.41,NSW,1hr,August_24
2028,251.36,NSW,1hr,August_24
2029,310.75,NSW,1hr,August_24
2030,239.5,NSW,1hr,August_24
2031,189.2,NSW,1hr,August_24
2032,213.16,NSW,1hr,August_24
2033,220.45,NSW,1hr,August_24
2034,239.9,NSW,1hr,August_24
2035,249.19,NSW,1hr,August_24
2036,308.72,NSW,1hr,August_24
2037,322.44,NSW,1hr,August_24
2038,323.47,NSW,1hr,August_24
2039,329.23,NSW,1hr,August_24
2040,315.05,NSW,1hr,August_24
2041,285.57,NSW,1hr,August_24
2042,289.05,NSW,1hr,August_24
2043,290.62,NSW,1hr,August_24
2044,305.27,NSW,1hr,August_24
2045,315.25,NSW,1hr,August_24
2046,323.22,NSW,1hr,August_24
2047,318.43,NSW,1hr,August_24
2048,314.75,NSW,1hr,August_24
2049,329.33,NSW,1hr,August_24
2050,317.98,NSW,1hr,August_24
2051,320.75,NSW,1hr,August_24
2052,316.38,NSW,1hr,August_24
2053,310.44,NSW,1hr,August_24
2054,306.13,NSW,1hr,August_24
2055,319.73,NSW,1hr,August_24
2056,298.23,NSW,1hr,August_24
2057,308.32,NSW,1hr,August_24
2058,307.17,NSW,1hr,August_24
2059,292.93,NSW,1hr,August_24
2060,295.18,NSW,1hr,August_24
2025,208.69,NSW,2hr,August_24
2026,235.86,NSW,2hr,August_24
2027,189.15,NSW,2hr,August_24
2028,183.48,NSW,2hr,August_24
2029,225.37,NSW,2hr,August_24
2030,174.46,NSW,2hr,August_24
2031,135.78,NSW,2hr,August_24
2032,151.5,NSW,2hr,August_24
2033,154.96,NSW,2hr,August_24
2034,170.47,NSW,2hr,August_24
2035,174.45,NSW,2hr,August_24
2036,220.69,NSW,2hr,August_24
2037,226.07,NSW,2hr,August_24
2038,233.17,NSW,2hr,August_24
2039,234.38,NSW,2hr,August_24
2040,230.43,NSW,2hr,August_24
2041,202.33,NSW,2hr,August_24
2042,211.54,NSW,2hr,August_24
2043,212.22,NSW,2hr,August_24
2044,217.11,NSW,2hr,August_24
2045,230.59,NSW,2hr,August_24
2046,233.08,NSW,2hr,August_24
2047,231.32,NSW,2hr,August_24
2048,223.07,NSW,2hr,August_24
2049,235.96,NSW,2hr,August_24
2050,222.13,NSW,2hr,August_24
2051,228.16,NSW,2hr,August_24
2052,226.32,NSW,2hr,August_24
2053,220.58,NSW,2hr,August_24
2054,218.51,NSW,2hr,August_24
2055,223.31,NSW,2hr,August_24
2056,217.69,NSW,2hr,August_24
2057,222.02,NSW,2hr,August_24
2058,219.39,NSW,2hr,August_24
2059,215.32,NSW,2hr,August_24
2060,213.54,NSW,2hr,August_24
2025,155.0,NSW,4hr,August_24
2026,170.54,NSW,4hr,August_24
2027,137.31,NSW,4hr,August_24
2028,135.03,NSW,4hr,August_24
2029,163.22,NSW,4hr,August_24
2030,129.94,NSW,4hr,August_24
2031,97.72,NSW,4hr,August_24
2032,107.8,NSW,4hr,August_24
2033,111.33,NSW,4hr,August_24
2034,124.69,NSW,4hr,August_24
2035,126.75,NSW,4hr,August_24
2036,161.35,NSW,4hr,August_24
2037,163.86,NSW,4hr,August_24
2038,168.07,NSW,4hr,August_24
2039,168.14,NSW,4hr,August_24
2040,168.61,NSW,4hr,August_24
2041,150.73,NSW,4hr,August_24
2042,157.7,NSW,4hr,August_24
2043,158.61,NSW,4hr,August_24
2044,161.71,NSW,4hr,August_24
