date,value,region,vintage
2024-07,58.24,NSW,August_24
2024-08,62.15,NSW,August_24
2024-09,41.87,NSW,August_24
2024-10,50.51,NSW,August_24
2024-11,48.63,NSW,August_24
2024-12,52.97,NSW,August_24
2025-01,55.18,NSW,August_24
2025-02,52.15,NSW,August_24
2025-03,73.89,NSW,August_24
2025-04,35.52,NSW,August_24
2025-05,28.23,NSW,August_24
2025-06,81.02,NSW,August_24
2025-07,67.06,NSW,August_24
2025-08,65.57,NSW,August_24
2025-09,38.43,NSW,August_24
2025-10,47.13,NSW,August_24
2025-11,45.3,NSW,August_24
2025-12,51.77,NSW,August_24
2026-01,58.09,NSW,August_24
2026-02,55.85,NSW,August_24
2026-03,91.53,NSW,August_24
2026-04,36.67,NSW,August_24
2026-05,31.39,NSW,August_24
2026-06,105.8,NSW,August_24
2026-07,59.39,NSW,August_24
2026-08,65.92,NSW,August_24
2026-09,41.18,NSW,August_24
2026-10,41.9,NSW,August_24
2026-11,39.02,NSW,August_24
2026-12,46.45,NSW,August_24
2027-01,41.8,NSW,August_24
2027-02,43.78,NSW,August_24
2027-03,66.57,NSW,August_24
2027-04,40.26,NSW,August_24
2027-05,31.34,NSW,August_24
2027-06,82.56,NSW,August_24
2027-07,67.82,NSW,August_24
2027-08,73.31,NSW,August_24
2027-09,47.59,NSW,August_24
2027-10,48.86,NSW,August_24
2027-11,46.1,NSW,August_24
2027-12,49.44,NSW,August_24
2028-01,50.93,NSW,August_24
2028-02,50.15,NSW,August_24
2028-03,75.43,NSW,August_24
2028-04,43.82,NSW,August_24
2028-05,39.33,NSW,August_24
2028-06,98.27,NSW,August_24
2028-07,70.59,NSW,August_24
2028-08,67.93,NSW,August_24
2028-09,36.84,NSW,August_24
2028-10,43.59,NSW,August_24
2028-11,35.46,NSW,August_24
2028-12,39.93,NSW,August_24
2029-01,48.96,NSW,August_24
2029-02,45.43,NSW,August_24
2029-03,80.74,NSW,August_24
2029-04,41.5,NSW,August_24
2029-05,33.24,NSW,August_24
2029-06,104.89,NSW,August_24
2029-07,63.65,NSW,August_24
2029-08,66.25,NSW,August_24
2029-09,38.99,NSW,August_24
2029-10,42.84,NSW,August_24
2029-11,35.01,NSW,August_24
2029-12,36.83,NSW,August_24
2030-01,42.82,NSW,August_24
2030-02,45.55,NSW,August_24
2030-03,73.97,NSW,August_24
2030-04,41.31,NSW,August_24
2030-05,31.91,NSW,August_24
2030-06,93.45,NSW,August_24
2030-07,55.75,NSW,August_24
2030-08,65.11,NSW,August_24
2030-09,51.95,NSW,August_24
2030-10,54.38,NSW,August_24
2030-11,41.66,NSW,August_24
2030-12,39.76,NSW,August_24
2031-01,39.82,NSW,August_24
2031-02,39.56,NSW,August_24
2031-03,62.02,NSW,August_24
2031-04,43.88,NSW,August_24
2031-05,40.66,NSW,August_24
2031-06,80.87,NSW,August_24
2031-07,61.12,NSW,August_24
2031-08,72.24,NSW,August_24
2031-09,57.23,NSW,August_24
2031-10,57.38,NSW,August_24
2031-11,43.87,NSW,August_24
2031-12,40.58,NSW,August_24
2032-01,44.29,NSW,August_24
2032-02,47.94,NSW,August_24
2032-03,70.58,NSW,August_24
2032-04,51.36,NSW,August_24
2032-05,47.03,NSW,August_24
2032-06,91.31,NSW,August_24
2032-07,69.35,NSW,August_24
2032-08,72.92,NSW,August_24
2032-09,57.25,NSW,August_24
2032-10,58.27,NSW,August_24
2032-11,43.52,NSW,August_24
2032-12,42.21,NSW,August_24
2033-01,50.28,NSW,August_24
2033-02,52.44,NSW,August_24
2033-03,78.53,NSW,August_24
2033-04,56.72,NSW,August_24
2033-05,46.38,NSW,August_24
2033-06,92.0,NSW,August_24
2033-07,78.36,NSW,August_24
2033-08,70.32,NSW,August_24
2033-09,50.54,NSW,August_24
2033-10,52.34,NSW,August_24
2033-11,40.46,NSW,August_24
2033-12,38.17,NSW,August_24
2034-01,59.87,NSW,August_24
2034-02,65.43,NSW,August_24
2034-03,101.78,NSW,August_24
2034-04,67.31,NSW,August_24
2034-05,48.9,NSW,August_24
2034-06,101.63,NSW,August_24
2034-07,70.18,NSW,August_24
2034-08,104.48,NSW,August_24
2034-09,48.12,NSW,August_24
2034-10,51.32,NSW,August_24
2034-11,37.73,NSW,August_24
2034-12,35.32,NSW,August_24
2035-01,57.45,NSW,August_24
2035-02,59.92,NSW,August_24
2035-03,98.62,NSW,August_24
2035-04,66.02,NSW,August_24
2035-05,47.7,NSW,August_24
2035-06,121.72,NSW,August_24
2035-07,76.52,NSW,August_24
2035-08,74.6,NSW,August_24
2035-09,45.04,NSW,August_24
2035-10,45.06,NSW,August_24
2035-11,32.12,NSW,August_24
2035-12,32.32,NSW,August_24
2036-01,68.77,NSW,August_24
2036-02,66.28,NSW,August_24
2036-03,116.98,NSW,August_24
2036-04,71.98,NSW,August_24
2036-05,60.95,NSW,August_24
2036-06,110.39,NSW,August_24
2036-07,77.74,NSW,August_24
2036-08,69.63,NSW,August_24
2036-09,42.09,NSW,August_24
2036-10,42.78,NSW,August_24
2036-11,29.6,NSW,August_24
2036-12,30.79,NSW,August_24
2037-01,66.26,NSW,August_24
2037-02,72.66,NSW,August_24
2037-03,127.93,NSW,August_24
2037-04,75.82,NSW,August_24
