date,value,region,vintage
2024-07,67.86,NSW,August_24
2024-08,80.08,NSW,August_24
2024-09,67.99,NSW,August_24
2024-10,73.85,NSW,August_24
2024-11,65.55,NSW,August_24
2024-12,66.65,NSW,August_24
2025-01,64.28,NSW,August_24
2025-02,56.57,NSW,August_24
2025-03,77.82,NSW,August_24
2025-04,62.16,NSW,August_24
2025-05,55.07,NSW,August_24
2025-06,84.91,NSW,August_24
2025-07,73.11,NSW,August_24
2025-08,75.08,NSW,August_24
2025-09,60.65,NSW,August_24
2025-10,65.31,NSW,August_24
2025-11,61.63,NSW,August_24
2025-12,63.46,NSW,August_24
2026-01,64.23,NSW,August_24
2026-02,57.72,NSW,August_24
2026-03,92.46,NSW,August_24
2026-04,61.65,NSW,August_24
2026-05,50.64,NSW,August_24
2026-06,108.22,NSW,August_24
2026-07,64.61,NSW,August_24
2026-08,72.13,NSW,August_24
2026-09,53.52,NSW,August_24
2026-10,53.94,NSW,August_24
2026-11,50.8,NSW,August_24
2026-12,59.8,NSW,August_24
2027-01,48.8,NSW,August_24
2027-02,47.51,NSW,August_24
2027-03,66.7,NSW,August_24
2027-04,62.06,NSW,August_24
2027-05,45.29,NSW,August_24
2027-06,82.56,NSW,August_24
2027-07,73.64,NSW,August_24
2027-08,79.0,NSW,August_24
2027-09,58.3,NSW,August_24
2027-10,57.68,NSW,August_24
2027-11,54.61,NSW,August_24
2027-12,55.91,NSW,August_24
2028-01,52.72,NSW,August_24
2028-02,52.03,NSW,August_24
2028-03,75.43,NSW,August_24
2028-04,61.18,NSW,August_24
2028-05,50.1,NSW,August_24
2028-06,98.27,NSW,August_24
2028-07,81.57,NSW,August_24
2028-08,79.37,NSW,August_24
2028-09,53.48,NSW,August_24
2028-10,60.44,NSW,August_24
2028-11,55.0,NSW,August_24
2028-12,55.37,NSW,August_24
2029-01,59.86,NSW,August_24
2029-02,53.87,NSW,August_24
2029-03,81.8,NSW,August_24
2029-04,65.18,NSW,August_24
2029-05,51.96,NSW,August_24
2029-06,104.89,NSW,August_24
2029-07,71.39,NSW,August_24
2029-08,72.2,NSW,August_24
2029-09,47.43,NSW,August_24
2029-10,50.22,NSW,August_24
2029-11,47.48,NSW,August_24
2029-12,46.3,NSW,August_24
2030-01,54.19,NSW,August_24
2030-02,56.25,NSW,August_24
2030-03,75.53,NSW,August_24
2030-04,58.97,NSW,August_24
2030-05,46.74,NSW,August_24
2030-06,93.45,NSW,August_24
2030-07,58.92,NSW,August_24
2030-08,65.11,NSW,August_24
2030-09,51.95,NSW,August_24
2030-10,54.38,NSW,August_24
2030-11,42.58,NSW,August_24
2030-12,40.51,NSW,August_24
2031-01,41.05,NSW,August_24
2031-02,40.99,NSW,August_24
2031-03,62.02,NSW,August_24
2031-04,47.8,NSW,August_24
2031-05,41.75,NSW,August_24
2031-06,80.87,NSW,August_24
2031-07,63.91,NSW,August_24
2031-08,72.24,NSW,August_24
2031-09,57.23,NSW,August_24
2031-10,57.38,NSW,August_24
2031-11,44.23,NSW,August_24
2031-12,41.81,NSW,August_24
2032-01,45.64,NSW,August_24
2032-02,49.22,NSW,August_24
2032-03,70.91,NSW,August_24
2032-04,54.53,NSW,August_24
2032-05,47.6,NSW,August_24
2032-06,91.31,NSW,August_24
2032-07,72.79,NSW,August_24
2032-08,72.92,NSW,August_24
2032-09,57.94,NSW,August_24
2032-10,58.27,NSW,August_24
2032-11,44.55,NSW,August_24
2032-12,43.28,NSW,August_24
2033-01,51.59,NSW,August_24
2033-02,54.8,NSW,August_24
2033-03,79.24,NSW,August_24
2033-04,58.12,NSW,August_24
2033-05,46.85,NSW,August_24
2033-06,92.0,NSW,August_24
2033-07,82.43,NSW,August_24
2033-08,70.32,NSW,August_24
2033-09,52.26,NSW,August_24
2033-10,53.4,NSW,August_24
2033-11,41.62,NSW,August_24
2033-12,40.6,NSW,August_24
2034-01,61.61,NSW,August_24
2034-02,68.76,NSW,August_24
2034-03,102.15,NSW,August_24
2034-04,70.21,NSW,August_24
2034-05,49.14,NSW,August_24
2034-06,101.63,NSW,August_24
2034-07,73.65,NSW,August_24
2034-08,107.07,NSW,August_24
2034-09,50.57,NSW,August_24
2034-10,53.24,NSW,August_24
2034-11,39.21,NSW,August_24
2034-12,38.09,NSW,August_24
2035-01,59.18,NSW,August_24
2035-02,62.92,NSW,August_24
2035-03,99.38,NSW,August_24
2035-04,69.02,NSW,August_24
2035-05,47.94,NSW,August_24
2035-06,121.72,NSW,August_24
2035-07,86.03,NSW,August_24
2035-08,81.06,NSW,August_24
2035-09,51.42,NSW,August_24
2035-10,47.92,NSW,August_24
2035-11,36.83,NSW,August_24
2035-12,36.92,NSW,August_24
2036-01,75.99,NSW,August_24
2036-02,75.85,NSW,August_24
2036-03,118.31,NSW,August_24
2036-04,79.0,NSW,August_24
2036-05,64.93,NSW,August_24
2036-06,110.39,NSW,August_24
2036-07,85.61,NSW,August_24
2036-08,76.26,NSW,August_24
2036-09,47.43,NSW,August_24
2036-10,47.34,NSW,August_24
2036-11,34.37,NSW,August_24
2036-12,34.73,NSW,August_24
2037-01,74.4,NSW,August_24
2037-02,84.72,NSW,August_24
2037-03,129.58,NSW,August_24
2037-04,82.36,NSW,August_24
2037-05,58.49,NSW,August_24
2037-06,111.4,NSW,August_24
2037-07,88.2,NSW,August_24
2037-08,75.66,NSW,August_24
2037-09,45.82,NSW,August_24
2037-10,45.96,NSW,August_24
2037-11,33.94,NSW,August_24
2037-12,36.5,NSW,August_24
