date,value,region,vintage
2024-07,62.68,NSW,August_24
2024-08,62.96,NSW,August_24
2024-09,42.58,NSW,August_24
2024-10,54.18,NSW,August_24
2024-11,49.76,NSW,August_24
2024-12,54.68,NSW,August_24
2025-01,57.11,NSW,August_24
2025-02,54.0,NSW,August_24
2025-03,73.89,NSW,August_24
2025-04,43.7,NSW,August_24
2025-05,35.58,NSW,August_24
2025-06,81.02,NSW,August_24
2025-07,71.48,NSW,August_24
2025-08,67.64,NSW,August_24
2025-09,40.4,NSW,August_24
2025-10,51.76,NSW,August_24
2025-11,45.72,NSW,August_24
2025-12,54.44,NSW,August_24
2026-01,59.8,NSW,August_24
2026-02,56.36,NSW,August_24
2026-03,91.53,NSW,August_24
2026-04,45.52,NSW,August_24
2026-05,38.21,NSW,August_24
2026-06,105.8,NSW,August_24
2026-07,62.77,NSW,August_24
2026-08,65.92,NSW,August_24
2026-09,41.33,NSW,August_24
2026-10,43.12,NSW,August_24
2026-11,39.15,NSW,August_24
2026-12,48.14,NSW,August_24
2027-01,43.41,NSW,August_24
2027-02,44.44,NSW,August_24
2027-03,66.57,NSW,August_24
2027-04,46.25,NSW,August_24
2027-05,35.3,NSW,August_24
2027-06,82.56,NSW,August_24
2027-07,71.24,NSW,August_24
2027-08,73.54,NSW,August_24
2027-09,48.19,NSW,August_24
2027-10,51.81,NSW,August_24
2027-11,46.1,NSW,August_24
2027-12,51.39,NSW,August_24
2028-01,52.45,NSW,August_24
2028-02,50.71,NSW,August_24
2028-03,75.43,NSW,August_24
2028-04,50.78,NSW,August_24
2028-05,43.21,NSW,August_24
2028-06,98.27,NSW,August_24
2028-07,76.12,NSW,August_24
2028-08,70.69,NSW,August_24
2028-09,40.47,NSW,August_24
2028-10,50.8,NSW,August_24
2028-11,46.66,NSW,August_24
2028-12,43.54,NSW,August_24
2029-01,52.77,NSW,August_24
2029-02,48.51,NSW,August_24
2029-03,80.74,NSW,August_24
2029-04,50.83,NSW,August_24
2029-05,39.19,NSW,August_24
2029-06,104.89,NSW,August_24
2029-07,68.74,NSW,August_24
2029-08,66.25,NSW,August_24
2029-09,40.83,NSW,August_24
2029-10,45.08,NSW,August_24
2029-11,39.46,NSW,August_24
2029-12,39.79,NSW,August_24
2030-01,50.58,NSW,August_24
2030-02,50.08,NSW,August_24
2030-03,74.07,NSW,August_24
2030-04,48.32,NSW,August_24
2030-05,34.0,NSW,August_24
2030-06,93.45,NSW,August_24
2030-07,56.11,NSW,August_24
2030-08,65.11,NSW,August_24
2030-09,51.95,NSW,August_24
2030-10,54.38,NSW,August_24
2030-11,41.66,NSW,August_24
2030-12,39.85,NSW,August_24
2031-01,40.43,NSW,August_24
2031-02,40.43,NSW,August_24
2031-03,62.02,NSW,August_24
2031-04,43.99,NSW,August_24
2031-05,40.66,NSW,August_24
2031-06,80.87,NSW,August_24
2031-07,61.82,NSW,August_24
2031-08,72.24,NSW,August_24
2031-09,57.23,NSW,August_24
2031-10,57.38,NSW,August_24
2031-11,43.87,NSW,August_24
2031-12,40.79,NSW,August_24
