date,value,region,vintage
2024-07,137.69,NSW,August_24
2024-08,111.03,NSW,August_24
2024-09,100.61,NSW,August_24
2024-10,102.0,NSW,August_24
2024-11,88.87,NSW,August_24
2024-12,88.88,NSW,August_24
2025-01,78.51,NSW,August_24
2025-02,82.53,NSW,August_24
2025-03,98.36,NSW,August_24
2025-04,86.77,NSW,August_24
2025-05,85.34,NSW,August_24
2025-06,134.34,NSW,August_24
2025-07,130.89,NSW,August_24
2025-08,114.81,NSW,August_24
2025-09,96.02,NSW,August_24
2025-10,95.28,NSW,August_24
2025-11,86.93,NSW,August_24
2025-12,84.79,NSW,August_24
2026-01,98.36,NSW,August_24
2026-02,87.78,NSW,August_24
2026-03,103.6,NSW,August_24
2026-04,85.49,NSW,August_24
2026-05,87.22,NSW,August_24
2026-06,139.28,NSW,August_24
2026-07,120.71,NSW,August_24
2026-08,106.37,NSW,August_24
2026-09,90.54,NSW,August_24
2026-10,84.1,NSW,August_24
2026-11,73.15,NSW,August_24
2026-12,74.05,NSW,August_24
2027-01,66.23,NSW,August_24
2027-02,69.27,NSW,August_24
2027-03,93.34,NSW,August_24
2027-04,81.0,NSW,August_24
2027-05,78.73,NSW,August_24
2027-06,115.52,NSW,August_24
2027-07,129.13,NSW,August_24
2027-08,108.33,NSW,August_24
2027-09,95.16,NSW,August_24
2027-10,82.29,NSW,August_24
2027-11,76.93,NSW,August_24
2027-12,74.67,NSW,August_24
2028-01,70.37,NSW,August_24
2028-02,76.37,NSW,August_24
2028-03,102.98,NSW,August_24
2028-04,87.64,NSW,August_24
2028-05,90.49,NSW,August_24
2028-06,128.09,NSW,August_24
2028-07,117.22,NSW,August_24
2028-08,119.33,NSW,August_24
2028-09,90.1,NSW,August_24
2028-10,81.23,NSW,August_24
2028-11,69.71,NSW,August_24
2028-12,70.49,NSW,August_24
2029-01,74.6,NSW,August_24
2029-02,79.95,NSW,August_24
2029-03,106.19,NSW,August_24
2029-04,92.63,NSW,August_24
2029-05,80.61,NSW,August_24
2029-06,160.07,NSW,August_24
2029-07,103.69,NSW,August_24
2029-08,98.97,NSW,August_24
2029-09,82.28,NSW,August_24
2029-10,72.75,NSW,August_24
2029-11,62.32,NSW,August_24
2029-12,60.79,NSW,August_24
2030-01,68.11,NSW,August_24
2030-02,69.79,NSW,August_24
2030-03,90.9,NSW,August_24
2030-04,83.42,NSW,August_24
2030-05,66.88,NSW,August_24
2030-06,136.07,NSW,August_24
2030-07,88.85,NSW,August_24
2030-08,91.35,NSW,August_24
2030-09,80.91,NSW,August_24
2030-10,73.51,NSW,August_24
2030-11,62.3,NSW,August_24
2030-12,57.62,NSW,August_24
2031-01,54.94,NSW,August_24
2031-02,60.77,NSW,August_24
2031-03,73.01,NSW,August_24
2031-04,70.79,NSW,August_24
2031-05,65.93,NSW,August_24
2031-06,101.08,NSW,August_24
2031-07,100.51,NSW,August_24
2031-08,94.24,NSW,August_24
2031-09,82.2,NSW,August_24
2031-10,76.91,NSW,August_24
2031-11,60.69,NSW,August_24
2031-12,57.38,NSW,August_24
2032-01,57.52,NSW,August_24
2032-02,74.99,NSW,August_24
2032-03,102.15,NSW,August_24
2032-04,89.91,NSW,August_24
2032-05,70.76,NSW,August_24
2032-06,147.58,NSW,August_24
2032-07,99.49,NSW,August_24
2032-08,108.87,NSW,August_24
2032-09,83.61,NSW,August_24
2032-10,78.12,NSW,August_24
2032-11,59.98,NSW,August_24
2032-12,63.04,NSW,August_24
2033-01,67.16,NSW,August_24
2033-02,74.0,NSW,August_24
2033-03,90.27,NSW,August_24
2033-04,85.31,NSW,August_24
2033-05,72.19,NSW,August_24
2033-06,116.19,NSW,August_24
2033-07,111.03,NSW,August_24
2033-08,118.9,NSW,August_24
2033-09,79.22,NSW,August_24
2033-10,72.97,NSW,August_24
2033-11,56.61,NSW,August_24
2033-12,59.28,NSW,August_24
2034-01,78.34,NSW,August_24
2034-02,94.44,NSW,August_24
2034-03,118.86,NSW,August_24
2034-04,105.49,NSW,August_24
2034-05,79.7,NSW,August_24
2034-06,134.03,NSW,August_24
2034-07,104.88,NSW,August_24
2034-08,112.4,NSW,August_24
2034-09,78.31,NSW,August_24
2034-10,70.72,NSW,August_24
2034-11,57.75,NSW,August_24
2034-12,51.74,NSW,August_24
2035-01,71.61,NSW,August_24
2035-02,96.41,NSW,August_24
2035-03,114.46,NSW,August_24
2035-04,105.17,NSW,August_24
2035-05,77.54,NSW,August_24
2035-06,135.84,NSW,August_24
2035-07,126.64,NSW,August_24
2035-08,122.14,NSW,August_24
2035-09,90.88,NSW,August_24
2035-10,67.97,NSW,August_24
2035-11,56.39,NSW,August_24
2035-12,59.68,NSW,August_24
2036-01,90.25,NSW,August_24
2036-02,107.03,NSW,August_24
2036-03,144.68,NSW,August_24
2036-04,122.82,NSW,August_24
2036-05,103.1,NSW,August_24
2036-06,160.7,NSW,August_24
2036-07,122.83,NSW,August_24
2036-08,117.48,NSW,August_24
2036-09,80.94,NSW,August_24
2036-10,67.91,NSW,August_24
2036-11,48.64,NSW,August_24
2036-12,48.55,NSW,August_24
2037-01,85.42,NSW,August_24
2037-02,110.28,NSW,August_24
2037-03,149.76,NSW,August_24
2037-04,133.48,NSW,August_24
2037-05,102.19,NSW,August_24
2037-06,175.87,NSW,August_24
2037-07,133.86,NSW,August_24
2037-08,122.07,NSW,August_24
2037-09,81.45,NSW,August_24
2037-10,65.13,NSW,August_24
2037-11,48.57,NSW,August_24
2037-12,50.1,NSW,August_24
2038-01,101.36,NSW,August_24
2038-02,111.92,NSW,August_24
2038-03,142.74,NSW,August_24
2038-04,131.42,NSW,August_24
2038-05,100.23,NSW,August_24
2038-06,189.98,NSW,August_24
2038-07,144.42,NSW,August_24
2038-08,120.05,NSW,August_24
2038-09,79.1,NSW,August_24
2038-10,64.47,NSW,August_24
2038-11,48.91,NSW,August_24
2038-12,50.57,NSW,August_24
2039-01,93.63,NSW,August_24
2039-02,110.21,NSW,August_24
2039-03,148.4,NSW,August_24
2039-04,131.87,NSW,August_24
2039-05,112.81,NSW,August_24
2039-06,172.43,NSW,August_24
