date,value,region,vintage
2024-07,145.65,NSW,August_24
2024-08,120.02,NSW,August_24
2024-09,117.22,NSW,August_24
2024-10,114.23,NSW,August_24
2024-11,99.49,NSW,August_24
2024-12,97.84,NSW,August_24
2025-01,84.75,NSW,August_24
2025-02,85.98,NSW,August_24
2025-03,100.01,NSW,August_24
2025-04,99.69,NSW,August_24
2025-05,98.24,NSW,August_24
2025-06,135.18,NSW,August_24
2025-07,136.02,NSW,August_24
2025-08,120.61,NSW,August_24
2025-09,110.18,NSW,August_24
2025-10,105.1,NSW,August_24
2025-11,98.02,NSW,August_24
2025-12,91.85,NSW,August_24
2026-01,104.35,NSW,August_24
2026-02,89.48,NSW,August_24
2026-03,103.84,NSW,August_24
2026-04,97.61,NSW,August_24
2026-05,94.91,NSW,August_24
2026-06,139.68,NSW,August_24
2026-07,125.49,NSW,August_24
2026-08,110.1,NSW,August_24
2026-09,97.49,NSW,August_24
2026-10,91.61,NSW,August_24
2026-11,81.21,NSW,August_24
2026-12,81.99,NSW,August_24
2027-01,71.4,NSW,August_24
2027-02,71.87,NSW,August_24
2027-03,93.39,NSW,August_24
2027-04,91.28,NSW,August_24
2027-05,84.75,NSW,August_24
2027-06,115.52,NSW,August_24
2027-07,134.58,NSW,August_24
2027-08,111.92,NSW,August_24
2027-09,101.39,NSW,August_24
2027-10,87.54,NSW,August_24
2027-11,82.27,NSW,August_24
2027-12,79.66,NSW,August_24
2028-01,72.63,NSW,August_24
2028-02,77.86,NSW,August_24
2028-03,102.98,NSW,August_24
2028-04,96.63,NSW,August_24
2028-05,94.6,NSW,August_24
2028-06,128.09,NSW,August_24
2028-07,124.54,NSW,August_24
2028-08,127.01,NSW,August_24
2028-09,102.37,NSW,August_24
2028-10,90.13,NSW,August_24
2028-11,82.04,NSW,August_24
2028-12,80.38,NSW,August_24
2029-01,82.13,NSW,August_24
2029-02,87.83,NSW,August_24
2029-03,106.65,NSW,August_24
2029-04,104.5,NSW,August_24
2029-05,89.62,NSW,August_24
2029-06,160.07,NSW,August_24
2029-07,110.66,NSW,August_24
2029-08,102.54,NSW,August_24
2029-09,89.59,NSW,August_24
2029-10,76.85,NSW,August_24
2029-11,70.17,NSW,August_24
2029-12,67.73,NSW,August_24
2030-01,76.01,NSW,August_24
2030-02,78.59,NSW,August_24
2030-03,93.19,NSW,August_24
2030-04,92.05,NSW,August_24
2030-05,73.89,NSW,August_24
2030-06,136.07,NSW,August_24
2030-07,91.14,NSW,August_24
2030-08,91.35,NSW,August_24
2030-09,80.91,NSW,August_24
2030-10,73.51,NSW,August_24
2030-11,62.97,NSW,August_24
2030-12,58.21,NSW,August_24
2031-01,56.18,NSW,August_24
2031-02,61.51,NSW,August_24
2031-03,73.01,NSW,August_24
2031-04,72.8,NSW,August_24
2031-05,66.37,NSW,August_24
2031-06,101.08,NSW,August_24
2031-07,102.51,NSW,August_24
2031-08,94.24,NSW,August_24
2031-09,82.2,NSW,August_24
2031-10,76.91,NSW,August_24
2031-11,60.93,NSW,August_24
2031-12,58.27,NSW,August_24
2032-01,58.8,NSW,August_24
2032-02,75.67,NSW,August_24
2032-03,102.73,NSW,August_24
2032-04,91.81,NSW,August_24
2032-05,71.07,NSW,August_24
