date,value,region,vintage
2024-07,141.73,NSW,August_24
2024-08,111.3,NSW,August_24
2024-09,101.14,NSW,August_24
2024-10,104.55,NSW,August_24
2024-11,89.7,NSW,August_24
2024-12,89.68,NSW,August_24
2025-01,80.75,NSW,August_24
2025-02,84.22,NSW,August_24
2025-03,98.36,NSW,August_24
2025-04,91.86,NSW,August_24
2025-05,88.65,NSW,August_24
2025-06,134.34,NSW,August_24
2025-07,134.55,NSW,August_24
2025-08,116.02,NSW,August_24
2025-09,97.43,NSW,August_24
2025-10,98.46,NSW,August_24
2025-11,87.26,NSW,August_24
2025-12,85.98,NSW,August_24
2026-01,100.72,NSW,August_24
2026-02,88.21,NSW,August_24
2026-03,103.6,NSW,August_24
2026-04,90.61,NSW,August_24
2026-05,89.92,NSW,August_24
2026-06,139.28,NSW,August_24
2026-07,123.54,NSW,August_24
2026-08,106.37,NSW,August_24
2026-09,90.62,NSW,August_24
2026-10,84.93,NSW,August_24
2026-11,73.29,NSW,August_24
2026-12,74.9,NSW,August_24
2027-01,68.24,NSW,August_24
2027-02,69.72,NSW,August_24
2027-03,93.34,NSW,August_24
2027-04,84.13,NSW,August_24
2027-05,80.46,NSW,August_24
2027-06,115.52,NSW,August_24
2027-07,131.94,NSW,August_24
2027-08,108.49,NSW,August_24
2027-09,95.46,NSW,August_24
2027-10,83.89,NSW,August_24
2027-11,76.93,NSW,August_24
2027-12,75.68,NSW,August_24
2028-01,72.39,NSW,August_24
2028-02,76.83,NSW,August_24
2028-03,102.98,NSW,August_24
2028-04,91.47,NSW,August_24
2028-05,92.19,NSW,August_24
2028-06,128.09,NSW,August_24
2028-07,121.38,NSW,August_24
2028-08,120.89,NSW,August_24
2028-09,93.24,NSW,August_24
2028-10,85.39,NSW,August_24
2028-11,77.08,NSW,August_24
2028-12,72.99,NSW,August_24
2029-01,77.47,NSW,August_24
2029-02,81.68,NSW,August_24
2029-03,106.19,NSW,August_24
2029-04,98.09,NSW,August_24
2029-05,82.86,NSW,August_24
2029-06,160.07,NSW,August_24
2029-07,107.56,NSW,August_24
2029-08,98.97,NSW,August_24
2029-09,84.3,NSW,August_24
2029-10,73.89,NSW,August_24
2029-11,65.33,NSW,August_24
2029-12,62.76,NSW,August_24
2030-01,73.32,NSW,August_24
2030-02,72.86,NSW,August_24
2030-03,91.1,NSW,August_24
2030-04,87.41,NSW,August_24
2030-05,67.96,NSW,August_24
2030-06,136.07,NSW,August_24
2030-07,89.04,NSW,August_24
2030-08,91.35,NSW,August_24
2030-09,80.91,NSW,August_24
2030-10,73.51,NSW,August_24
2030-11,62.3,NSW,August_24
2030-12,57.69,NSW,August_24
2031-01,55.55,NSW,August_24
2031-02,61.21,NSW,August_24
2031-03,73.01,NSW,August_24
2031-04,70.83,NSW,August_24
2031-05,65.93,NSW,August_24
2031-06,101.08,NSW,August_24
2031-07,100.98,NSW,August_24
2031-08,94.24,NSW,August_24
2031-09,82.2,NSW,August_24
2031-10,76.91,NSW,August_24
2031-11,60.69,NSW,August_24
2031-12,57.55,NSW,August_24
2032-01,58.44,NSW,August_24
2032-02,74.99,NSW,August_24
2032-03,102.15,NSW,August_24
2032-04,90.12,NSW,August_24
2032-05,70.76,NSW,August_24
2032-06,147.58,NSW,August_24
2032-07,99.58,NSW,August_24
2032-08,108.87,NSW,August_24
2032-09,83.74,NSW,August_24
2032-10,78.12,NSW,August_24
2032-11,60.09,NSW,August_24
2032-12,63.04,NSW,August_24
2033-01,67.63,NSW,August_24
2033-02,74.51,NSW,August_24
2033-03,90.45,NSW,August_24
2033-04,85.31,NSW,August_24
2033-05,72.19,NSW,August_24
2033-06,116.19,NSW,August_24
2033-07,111.2,NSW,August_24
2033-08,118.9,NSW,August_24
2033-09,79.34,NSW,August_24
2033-10,73.04,NSW,August_24
2033-11,57.0,NSW,August_24
