fy_year,vintage,region,value
2025,2024-08,NSW,6.19177995474398
2026,2024-08,NSW,8.91896629153048
2027,2024-08,NSW,6.15084682791818
2028,2024-08,NSW,6.05671597331734
2029,2024-08,NSW,8.30858445470104
2030,2024-08,NSW,5.15869567702076
2031,2024-08,NSW,3.9890706836199
2032,2024-08,NSW,5.07632073637268
2033,2024-08,NSW,4.94255748252606
2034,2024-08,NSW,5.41611595172274
2035,2024-08,NSW,5.66126182246344
2036,2024-08,NSW,8.07120417914498
2037,2024-08,NSW,8.34842888002453
2038,2024-08,NSW,8.93302751712113
2039,2024-08,NSW,9.18772859186051
2040,2024-08,NSW,9.40820877687156
2041,2024-08,NSW,6.79503442495082
2042,2024-08,NSW,7.23155524411773
2043,2024-08,NSW,7.29397639867586
2044,2024-08,NSW,7.56911034054529
2045,2024-08,NSW,9.4925306957739
2046,2024-08,NSW,9.07690108577332
2047,2024-08,NSW,9.03902566531124
2048,2024-08,NSW,8.8934990682572
2049,2024-08,NSW,9.60180290617518
2050,2024-08,NSW,8.64347651114024
2051,2024-08,NSW,9.34970408673171
2052,2024-08,NSW,8.97998237308529
2053,2024-08,NSW,8.64288555707598
2054,2024-08,NSW,8.46426899283178
2055,2024-08,NSW,8.83897772692992
2056,2024-08,NSW,8.52104750197026
2057,2024-08,NSW,8.80414667618174
2058,2024-08,NSW,8.88398026603806
2059,2024-08,NSW,8.42662012821531
2060,2024-08,NSW,8.40138721818792
2025,2024-08,QLD,8.4764500768159
2026,2024-08,QLD,7.74128713169603
2027,2024-08,QLD,8.20651680601247
2028,2024-08,QLD,8.41620372513861
2029,2024-08,QLD,9.0960625653571
2030,2024-08,QLD,9.12815206971344
2031,2024-08,QLD,8.15049849995853
2032,2024-08,QLD,6.01343364696074
2033,2024-08,QLD,6.54118963628173
2034,2024-08,QLD,7.03948189912897
2035,2024-08,QLD,7.63512893462129
2036,2024-08,QLD,9.87195439467028
2037,2024-08,QLD,9.67895612807469
2038,2024-08,QLD,9.63995006146205
2039,2024-08,QLD,8.99514099789315
2040,2024-08,QLD,8.34387349557515
2041,2024-08,QLD,8.5889907909657
2042,2024-08,QLD,8.24241044363025
2043,2024-08,QLD,7.95281229016759
2044,2024-08,QLD,7.09687405126328
2045,2024-08,QLD,6.79746389298426
2046,2024-08,QLD,6.59500514387331
2047,2024-08,QLD,6.24584590157619
2048,2024-08,QLD,5.81617131553782
2049,2024-08,QLD,5.31614510375801
2050,2024-08,QLD,7.74995066563541
2051,2024-08,QLD,7.58074088466017
2052,2024-08,QLD,7.10088115459614
2053,2024-08,QLD,7.72356366001292
2054,2024-08,QLD,7.85154388500426
2055,2024-08,QLD,7.57923176161286
2056,2024-08,QLD,7.4006344600663
2057,2024-08,QLD,8.13147913328063
2058,2024-08,QLD,8.30501006997626
2059,2024-08,QLD,8.36675417906179
2060,2024-08,QLD,8.53586259055375
2025,2024-08,SA,9.0182404545526
2026,2024-08,SA,8.16270199143932
2027,2024-08,SA,11.3678836268252
2028,2024-08,SA,5.71524750334119
2029,2024-08,SA,7.18211620098685
2030,2024-08,SA,7.11590444276285
2031,2024-08,SA,7.41099948396425
2032,2024-08,SA,7.85197137632696
2033,2024-08,SA,8.48962280099811
2034,2024-08,SA,8.48104545564024
2035,2024-08,SA,8.42271458821438
2036,2024-08,SA,9.90217078279191
2037,2024-08,SA,9.34063303346331
2038,2024-08,SA,9.72394154026424
2039,2024-08,SA,10.0783656620093
2040,2024-08,SA,9.97837366252622
2041,2024-08,SA,10.1902957249084
2042,2024-08,SA,8.41928035351105
2043,2024-08,SA,8.92178646726865
2044,2024-08,SA,9.77836475588742
2045,2024-08,SA,8.67776551678647
2046,2024-08,SA,8.94102456341435
2047,2024-08,SA,8.91811671049208
2048,2024-08,SA,10.7888878815502
2049,2024-08,SA,10.9656076241806
2050,2024-08,SA,10.8162739293166
2051,2024-08,SA,10.9278706315282
2052,2024-08,SA,12.1204051238763
2053,2024-08,SA,11.11224436325
2054,2024-08,SA,11.0533418084108
