vintage,event_type,duration,units,value
2024-02,major,1h,A$,209619.0
2024-02,major,2h,A$,243413.0
2024-02,major,4h,A$,265295.0
2024-02,minor,1h,A$,66468.0
2024-02,minor,2h,A$,73178.0
2024-02,minor,4h,A$,77615.0
2024-05,major,1h,"$/MW, real 2023",221585.0
2024-05,major,2h,"$/MW, real 2023",257308.0
2024-05,major,4h,"$/MW, real 2023",280438.0
2024-05,minor,1h,"$/MW, real 2023",70262.0
2024-05,minor,2h,"$/MW, real 2023",77355.0
2024-05,minor,4h,"$/MW, real 2023",82045.0
2024-08,major,1h,"$/MW, real 2023",230625.0
2024-08,major,2h,"$/MW, real 2023",247596.0
2024-08,major,4h,"$/MW, real 2023",263710.0
2024-08,minor,1h,"$/MW, real 2023",56000.0
2024-08,minor,2h,"$/MW, real 2023",69612.0
2024-08,minor,4h,"$/MW, real 2023",74010.0
2024-11,major,1h,"$/MW, real 2023",230625.0
2024-11,major,2h,"$/MW, real 2023",247596.0
2024-11,major,4h,"$/MW, real 2023",263710.0
2024-11,minor,1h,"$/MW, real 2023",56000.0
2024-11,minor,2h,"$/MW, real 2023",69612.0
2024-11,minor,4h,"$/MW, real 2023",74010.0
2025-01,major,1h,"$/MW, real 2023",230625.0
2025-01,major,2h,"$/MW, real 2023",247596.0
2025-01,major,4h,"$/MW, real 2023",263710.0
2025-01,minor,1h,"$/MW, real 2023",56000.0
2025-01,minor,2h,"$/MW, real 2023",69612.0
2025-01,minor,4h,"$/MW, real 2023",74010.0
2025-07,major,1h,"$/MW, real 2024",238427.33571183318
2025-07,major,2h,"$/MW, real 2024",255972.4861264262
2025-07,major,4h,"$/MW, real 2024",272631.64314609225
2025-07,minor,1h,"$/MW, real 2024",58732.0
2025-07,minor,2h,"$/MW, real 2024",73055.0
2025-07,minor,4h,"$/MW, real 2024",82117.0
2025-10,major,1h,"$/MW, real 2024",238427.33571183318
2025-10,major,2h,"$/MW, real 2024",255972.4861264262
2025-10,major,4h,"$/MW, real 2024",272631.64314609225
2025-10,minor,1h,"$/MW, real 2024",54733.0
2025-10,minor,2h,"$/MW, real 2024",69489.0
2025-10,minor,4h,"$/MW, real 2024",83865.0
2026-Q1,major,1h,"$/MW, real 2024",238427.33571183318
2026-Q1,major,2h,"$/MW, real 2024",255972.4861264262
2026-Q1,major,4h,"$/MW, real 2024",272631.64314609225
2026-Q1,minor,1h,"$/MW, real 2024",54733.0
2026-Q1,minor,2h,"$/MW, real 2024",69489.0
2026-Q1,minor,4h,"$/MW, real 2024",83865.0
