fy_year,vintage,region,duration,start_year,degraded,scenario_variant,discharge_vol,charge_vol,wholesale_discharge_cf,wholesale_charge_cf,energy_trading_cf,high_price_cf,fcas_cf,total_cf,major_event_payout,minor_event_payout
2025,2024-08,NSW,1h,2025,TRUE,base,456.597,-520.099," 79,398.20 ",-9292.451," 88,543.76 "," 50,349.31 "," 51,607.24 "," 140,151.00 "," 230,625.00 "," 56,000.00 "
2026,2024-08,NSW,1h,2025,TRUE,base,450.184,-511.993,115014.56,-16463.429,107358.025,64269.425,17364.075,124722.099,230625,56000
2027,2024-08,NSW,1h,2025,TRUE,base,441.949,-502.967,90927.046,-15200.909,84823.004,48375.801,16251.937,101074.939,230625,56000
2028,2024-08,NSW,1h,2025,TRUE,base,436.996,-497.136,98324.403,-19747.483,86225.164,51639.116,15037.584,101262.749,230625,56000
2029,2024-08,NSW,1h,2025,TRUE,base,431.73,-491.261,114502.189,-21706.219,100628.209,65075.782,17841.847,118470.056,230625,56000
2030,2024-08,NSW,1h,2025,TRUE,base,424.171,-481.768,87245.834,-17735.118,77281.479,43804.254,16072.146,93353.626,230625,56000
2031,2024-08,NSW,1h,2025,TRUE,base,418.061,-475.061,73133.188,-17454.829,62158.665,34514.058,10984.324,73142.989,230625,56000
2032,2024-08,NSW,1h,2025,TRUE,base,414.596,-470.88,79375.34,-20027.238,65537.761,37543.07,9750.105,75287.867,230625,56000
2033,2024-08,NSW,1h,2025,TRUE,base,405.63,-460.768,83744.189,-21070.854,69302.769,40932.716,10690.855,79993.625,230625,56000
2034,2024-08,NSW,1h,2025,TRUE,base,399.23,-453.565,90270.399,-21124.347,76456.055,45839.89,13974.236,90430.288,230625,56000
2035,2024-08,NSW,1h,2025,TRUE,base,394.22,-447.786,92074.114,-20190.433,78994.026,48290.39,13013.151,92007.177,230625,56000
2036,2024-08,NSW,1h,2025,TRUE,base,382.848,-435.703,110834.041,-20014.996,97402.815,64631.385,22733.105,120135.921,230625,56000
2037,2024-08,NSW,1h,2025,TRUE,base,378.217,-430.264,109217.062,-19143.594,96645.213,64766.507,24337.909,120983.121,230625,56000
2038,2024-08,NSW,1h,2025,TRUE,base,370.966,-422.094,114580.437,-17922.612,103738.121,71740.004,24478.86,128216.981,230625,56000
2039,2024-08,NSW,1h,2025,TRUE,base,365.099,-415.469,113779.378,-19811.721,101163.514,71107.028,23827.012,124990.525,230625,56000
2040,2024-08,NSW,1h,2025,TRUE,base,361.538,-411.962,115331.763,-20488.086,102160.592,73694.78,24112.04,126272.633,230625,56000
2041,2024-08,NSW,1h,2025,TRUE,base,352.924,-401.684,90934.248,-19925.539,79753.85,51457.358,24058.121,103811.97,230625,56000
2042,2024-08,NSW,1h,2025,TRUE,base,349.235,-398.281,97006.015,-18303.796,87499.885,59099.151,24243.284,111743.17,230625,56000
2043,2024-08,NSW,1h,2025,TRUE,base,345.785,-393.472,92202.186,-17123.612,83416.014,55006.317,24991.79,108407.803,230625,56000
2044,2024-08,NSW,1h,2025,TRUE,base,338.797,-385.529,96896.208,-16878.585,88661.013,60754.42,25212.921,113873.935,230625,56000
2045,2024-08,NSW,1h,2025,TRUE,base,450.82,-513.052,124423.795,-22841.046,108670.008,72721.806,27695.279,136365.288,230625,56000
2046,2024-08,NSW,1h,2025,TRUE,base,450.251,-512.259,124900.753,-22278.813,109940.478,73332.846,27611.033,137551.51,230625,56000
2047,2024-08,NSW,1h,2025,TRUE,base,440.451,-501.169,123915.502,-22618.812,108951.656,73368.452,27191.33,136142.987,230625,56000
2048,2024-08,NSW,1h,2025,TRUE,base,433.105,-493.803,118136.121,-23516.431,102714.142,69623.001,26453.681,129167.826,230625,56000
2049,2024-08,NSW,1h,2025,TRUE,base,426.687,-485.47,124591.494,-22985.79,109976.271,76406.434,25578.513,135554.785,230625,56000
2050,2024-08,NSW,1h,2025,TRUE,base,418.984,-476.839,114765.389,-20818.747,101589.885,68595.491,26685.45,128275.336,230625,56000
2051,2024-08,NSW,1h,2025,TRUE,base,414.084,-471.333,116415.725,-21315.595,104118.659,72113.623,26641.715,130760.375,230625,56000
2052,2024-08,NSW,1h,2025,TRUE,base,406.175,-462.886,110577.272,-19672.662,99430.339,67811.944,27467.136,126897.475,230625,56000
2053,2024-08,NSW,1h,2025,TRUE,base,401.265,-456.704,111871.222,-20961.636,99068.623,68397.953,26962.045,126030.668,230625,56000
2054,2024-08,NSW,1h,2025,TRUE,base,394.236,-448.7,102746.698,-21572.784,89990.667,60814.131,26367.478,116358.145,230625,56000
2055,2024-08,NSW,1h,2025,TRUE,base,388.695,-442.403,105717.92,-20645.268,94646.778,65439.121,27370.655,122017.433,230625,56000
2056,2024-08,NSW,1h,2025,TRUE,base,382.8,-436.182,104669.977,-19934.679,94625.349,66091.141,26601.306,121226.655,230625,56000
2057,2024-08,NSW,1h,2025,TRUE,base,375.058,-426.937,97470.148,-20201.075,87075.51,58504.016,26832.698,113908.208,230625,56000
2058,2024-08,NSW,1h,2025,TRUE,base,371.65,-423.078,104814.07,-20022.52,93946.437,66215.662,25718.446,119664.881,230625,56000
2059,2024-08,NSW,1h,2025,TRUE,base,366.449,-417.27,93920.364,-18611.154,85484.672,57775.289,25930.683,111415.356,230625,56000
2060,2024-08,NSW,1h,2025,TRUE,base,357.628,-407.546,98740.363,-20202.666,89191.787,63564.462,26876.463,116068.249,230625,56000
2025,2024-08,NSW,2h,2025,TRUE,base,921.872,-1049.096,123705.137,-25033.95,126293.993,50748.77,67242.385,193536.376,247596,69612
2026,2024-08,NSW,2h,2025,TRUE,base,906.263,-1029.884,179867.708,-34623.823,156237.09,74174.829,21933.89,178170.98,247596,69612
2027,2024-08,NSW,2h,2025,TRUE,base,886.557,-1008.106,138226.763,-31668.567,117338.292,48705.348,20749.431,138087.723,247596,69612
