fy_year,vintage,region,duration,start_year,degraded,scenario_variant,value
2025,2024-08,NSW,1h,2025,True,base,50349.311
2026,2024-08,NSW,1h,2025,True,base,64269.425
2027,2024-08,NSW,1h,2025,True,base,48375.801
2028,2024-08,NSW,1h,2025,True,base,51639.116
2029,2024-08,NSW,1h,2025,True,base,65075.782
2030,2024-08,NSW,1h,2025,True,base,43804.254
2031,2024-08,NSW,1h,2025,True,base,34514.058
2032,2024-08,NSW,1h,2025,True,base,37543.07
2033,2024-08,NSW,1h,2025,True,base,40932.716
2034,2024-08,NSW,1h,2025,True,base,45839.89
2035,2024-08,NSW,1h,2025,True,base,48290.39
2036,2024-08,NSW,1h,2025,True,base,64631.385
2037,2024-08,NSW,1h,2025,True,base,64766.507
2038,2024-08,NSW,1h,2025,True,base,71740.004
2039,2024-08,NSW,1h,2025,True,base,71107.028
2040,2024-08,NSW,1h,2025,True,base,73694.78
2041,2024-08,NSW,1h,2025,True,base,51457.358
2042,2024-08,NSW,1h,2025,True,base,59099.151
2043,2024-08,NSW,1h,2025,True,base,55006.317
2044,2024-08,NSW,1h,2025,True,base,60754.42
2045,2024-08,NSW,1h,2025,True,base,72721.806
2046,2024-08,NSW,1h,2025,True,base,73332.846
2047,2024-08,NSW,1h,2025,True,base,73368.452
2048,2024-08,NSW,1h,2025,True,base,69623.001
2049,2024-08,NSW,1h,2025,True,base,76406.434
2050,2024-08,NSW,1h,2025,True,base,68595.491
2051,2024-08,NSW,1h,2025,True,base,72113.623
2052,2024-08,NSW,1h,2025,True,base,67811.944
2053,2024-08,NSW,1h,2025,True,base,68397.953
2054,2024-08,NSW,1h,2025,True,base,60814.131
2055,2024-08,NSW,1h,2025,True,base,65439.121
2056,2024-08,NSW,1h,2025,True,base,66091.141
2057,2024-08,NSW,1h,2025,True,base,58504.016
2058,2024-08,NSW,1h,2025,True,base,66215.662
2059,2024-08,NSW,1h,2025,True,base,57775.289
2060,2024-08,NSW,1h,2025,True,base,63564.462
2025,2024-08,NSW,2h,2025,True,base,50748.77
2026,2024-08,NSW,2h,2025,True,base,74174.829
2027,2024-08,NSW,2h,2025,True,base,48705.348
2028,2024-08,NSW,2h,2025,True,base,52257.746
2029,2024-08,NSW,2h,2025,True,base,71491.964
2030,2024-08,NSW,2h,2025,True,base,44108.745
2031,2024-08,NSW,2h,2025,True,base,34764.116
2032,2024-08,NSW,2h,2025,True,base,44092.268
2033,2024-08,NSW,2h,2025,True,base,42390.288
2034,2024-08,NSW,2h,2025,True,base,46515.197
2035,2024-08,NSW,2h,2025,True,base,48757.479
2036,2024-08,NSW,2h,2025,True,base,68987.71
2037,2024-08,NSW,2h,2025,True,base,70395.799
2038,2024-08,NSW,2h,2025,True,base,75667.036
2039,2024-08,NSW,2h,2025,True,base,77065.285
2040,2024-08,NSW,2h,2025,True,base,78901.966
2041,2024-08,NSW,2h,2025,True,base,56973.582
2042,2024-08,NSW,2h,2025,True,base,60452.78
2043,2024-08,NSW,2h,2025,True,base,60893.985
2044,2024-08,NSW,2h,2025,True,base,62916.877
2045,2024-08,NSW,2h,2025,True,base,79443.677
2046,2024-08,NSW,2h,2025,True,base,76167.931
2047,2024-08,NSW,2h,2025,True,base,75712.471
2048,2024-08,NSW,2h,2025,True,base,73217.871
2049,2024-08,NSW,2h,2025,True,base,78592.195
2050,2024-08,NSW,2h,2025,True,base,72000.246
2051,2024-08,NSW,2h,2025,True,base,77705.339
2052,2024-08,NSW,2h,2025,True,base,74276.288
2053,2024-08,NSW,2h,2025,True,base,71346.245
2054,2024-08,NSW,2h,2025,True,base,68469.682
2055,2024-08,NSW,2h,2025,True,base,70571.912
2056,2024-08,NSW,2h,2025,True,base,69481.347
2057,2024-08,NSW,2h,2025,True,base,70385.721
2058,2024-08,NSW,2h,2025,True,base,72023.011
2059,2024-08,NSW,2h,2025,True,base,67394.486
2060,2024-08,NSW,2h,2025,True,base,66824.27
2025,2024-08,NSW,4h,2025,True,base,50834.605
2026,2024-08,NSW,4h,2025,True,base,74394.734
2027,2024-08,NSW,4h,2025,True,base,48734.344
2028,2024-08,NSW,4h,2025,True,base,52416.636
2029,2024-08,NSW,4h,2025,True,base,71978.661
2030,2024-08,NSW,4h,2025,True,base,44470.585
2031,2024-08,NSW,4h,2025,True,base,34757.854
2032,2024-08,NSW,4h,2025,True,base,44112.468
2033,2024-08,NSW,4h,2025,True,base,42631.729
2034,2024-08,NSW,4h,2025,True,base,46930.824
2035,2024-08,NSW,4h,2025,True,base,49098.803
2036,2024-08,NSW,4h,2025,True,base,70106.221
2037,2024-08,NSW,4h,2025,True,base,71866.207
2038,2024-08,NSW,4h,2025,True,base,77175.898
2039,2024-08,NSW,4h,2025,True,base,78524.471
2040,2024-08,NSW,4h,2025,True,base,80831.03
2041,2024-08,NSW,4h,2025,True,base,58624.878
2042,2024-08,NSW,4h,2025,True,base,61866.216
2043,2024-08,NSW,4h,2025,True,base,62359.244
2044,2024-08,NSW,4h,2025,True,base,64697.813
2045,2024-08,NSW,4h,2025,True,base,81430.015
2046,2024-08,NSW,4h,2025,True,base,78163.22
2047,2024-08,NSW,4h,2025,True,base,77544.385
2048,2024-08,NSW,4h,2025,True,base,75417.335
2049,2024-08,NSW,4h,2025,True,base,81242.463
2050,2024-08,NSW,4h,2025,True,base,74263.637
2051,2024-08,NSW,4h,2025,True,base,79914.801
2052,2024-08,NSW,4h,2025,True,base,76668.411
2053,2024-08,NSW,4h,2025,True,base,73420.622
2054,2024-08,NSW,4h,2025,True,base,71038.721
2055,2024-08,NSW,4h,2025,True,base,73099.619
2056,2024-08,NSW,4h,2025,True,base,72014.504
2057,2024-08,NSW,4h,2025,True,base,73615.262
2058,2024-08,NSW,4h,2025,True,base,74793.329
2059,2024-08,NSW,4h,2025,True,base,70237.431
2060,2024-08,NSW,4h,2025,True,base,69355.264
2025,2024-08,QLD,1h,2025,True,base,69987.93
2026,2024-08,QLD,1h,2025,True,base,65937.818
2027,2024-08,QLD,1h,2025,True,base,70473.701
2028,2024-08,QLD,1h,2025,True,base,71242.499
2029,2024-08,QLD,1h,2025,True,base,77585.429
