fy_year,vintage,region,duration,start_year,degraded,scenario_variant,value
2025,2024-08,NSW,1h,2025,True,base,140151.001
2026,2024-08,NSW,1h,2025,True,base,124722.099
2027,2024-08,NSW,1h,2025,True,base,101074.939
2028,2024-08,NSW,1h,2025,True,base,101262.749
2029,2024-08,NSW,1h,2025,True,base,118470.056
2030,2024-08,NSW,1h,2025,True,base,93353.626
2031,2024-08,NSW,1h,2025,True,base,73142.989
2032,2024-08,NSW,1h,2025,True,base,75287.867
2033,2024-08,NSW,1h,2025,True,base,79993.625
2034,2024-08,NSW,1h,2025,True,base,90430.288
2035,2024-08,NSW,1h,2025,True,base,92007.177
2036,2024-08,NSW,1h,2025,True,base,120135.921
2037,2024-08,NSW,1h,2025,True,base,120983.121
2038,2024-08,NSW,1h,2025,True,base,128216.981
2039,2024-08,NSW,1h,2025,True,base,124990.525
2040,2024-08,NSW,1h,2025,True,base,126272.633
2041,2024-08,NSW,1h,2025,True,base,103811.97
2042,2024-08,NSW,1h,2025,True,base,111743.17
2043,2024-08,NSW,1h,2025,True,base,108407.803
2044,2024-08,NSW,1h,2025,True,base,113873.935
2045,2024-08,NSW,1h,2025,True,base,136365.288
2046,2024-08,NSW,1h,2025,True,base,137551.51
2047,2024-08,NSW,1h,2025,True,base,136142.987
2048,2024-08,NSW,1h,2025,True,base,129167.826
2049,2024-08,NSW,1h,2025,True,base,135554.785
2050,2024-08,NSW,1h,2025,True,base,128275.336
2051,2024-08,NSW,1h,2025,True,base,130760.375
2052,2024-08,NSW,1h,2025,True,base,126897.475
2053,2024-08,NSW,1h,2025,True,base,126030.668
2054,2024-08,NSW,1h,2025,True,base,116358.145
2055,2024-08,NSW,1h,2025,True,base,122017.433
2056,2024-08,NSW,1h,2025,True,base,121226.655
2057,2024-08,NSW,1h,2025,True,base,113908.208
2058,2024-08,NSW,1h,2025,True,base,119664.881
2059,2024-08,NSW,1h,2025,True,base,111415.356
2060,2024-08,NSW,1h,2025,True,base,116068.249
2025,2024-08,NSW,2h,2025,True,base,193536.376
2026,2024-08,NSW,2h,2025,True,base,178170.98
2027,2024-08,NSW,2h,2025,True,base,138087.723
2028,2024-08,NSW,2h,2025,True,base,136665.92
2029,2024-08,NSW,2h,2025,True,base,168037.983
2030,2024-08,NSW,2h,2025,True,base,128923.743
2031,2024-08,NSW,2h,2025,True,base,98025.258
2032,2024-08,NSW,2h,2025,True,base,107663.847
2033,2024-08,NSW,2h,2025,True,base,108081.284
2034,2024-08,NSW,2h,2025,True,base,121563.889
2035,2024-08,NSW,2h,2025,True,base,122559.688
2036,2024-08,NSW,2h,2025,True,base,162962.207
2037,2024-08,NSW,2h,2025,True,base,165028.084
2038,2024-08,NSW,2h,2025,True,base,170578.916
2039,2024-08,NSW,2h,2025,True,base,168050.41
2040,2024-08,NSW,2h,2025,True,base,167707.011
2041,2024-08,NSW,2h,2025,True,base,144931.233
2042,2024-08,NSW,2h,2025,True,base,149859.012
2043,2024-08,NSW,2h,2025,True,base,150900.909
2044,2024-08,NSW,2h,2025,True,base,153164.666
2045,2024-08,NSW,2h,2025,True,base,187978.177
2046,2024-08,NSW,2h,2025,True,base,185802.795
2047,2024-08,NSW,2h,2025,True,base,183436.378
2048,2024-08,NSW,2h,2025,True,base,175414.233
2049,2024-08,NSW,2h,2025,True,base,180209.154
2050,2024-08,NSW,2h,2025,True,base,172628.673
2051,2024-08,NSW,2h,2025,True,base,176534.107
2052,2024-08,NSW,2h,2025,True,base,174851.936
2053,2024-08,NSW,2h,2025,True,base,168794.588
2054,2024-08,NSW,2h,2025,True,base,163852.654
2055,2024-08,NSW,2h,2025,True,base,166137.1
2056,2024-08,NSW,2h,2025,True,base,163664.834
2057,2024-08,NSW,2h,2025,True,base,163884.915
2058,2024-08,NSW,2h,2025,True,base,162469.668
2059,2024-08,NSW,2h,2025,True,base,156699.596
2060,2024-08,NSW,2h,2025,True,base,154809.138
