fy_year,vintage,region,duration,start_year,degraded,scenario_variant,value
2025,2024-08,NSW,1h,2025,True,base,-520.099
2026,2024-08,NSW,1h,2025,True,base,-511.993
2027,2024-08,NSW,1h,2025,True,base,-502.967
2028,2024-08,NSW,1h,2025,True,base,-497.136
2029,2024-08,NSW,1h,2025,True,base,-491.261
2030,2024-08,NSW,1h,2025,True,base,-481.768
2031,2024-08,NSW,1h,2025,True,base,-475.061
2032,2024-08,NSW,1h,2025,True,base,-470.88
2033,2024-08,NSW,1h,2025,True,base,-460.768
2034,2024-08,NSW,1h,2025,True,base,-453.565
2035,2024-08,NSW,1h,2025,True,base,-447.786
2036,2024-08,NSW,1h,2025,True,base,-435.703
2037,2024-08,NSW,1h,2025,True,base,-430.264
2038,2024-08,NSW,1h,2025,True,base,-422.094
2039,2024-08,NSW,1h,2025,True,base,-415.469
2040,2024-08,NSW,1h,2025,True,base,-411.962
2041,2024-08,NSW,1h,2025,True,base,-401.684
2042,2024-08,NSW,1h,2025,True,base,-398.281
2043,2024-08,NSW,1h,2025,True,base,-393.472
2044,2024-08,NSW,1h,2025,True,base,-385.529
2045,2024-08,NSW,1h,2025,True,base,-513.052
2046,2024-08,NSW,1h,2025,True,base,-512.259
2047,2024-08,NSW,1h,2025,True,base,-501.169
2048,2024-08,NSW,1h,2025,True,base,-493.803
2049,2024-08,NSW,1h,2025,True,base,-485.47
2050,2024-08,NSW,1h,2025,True,base,-476.839
2051,2024-08,NSW,1h,2025,True,base,-471.333
2052,2024-08,NSW,1h,2025,True,base,-462.886
2053,2024-08,NSW,1h,2025,True,base,-456.704
2054,2024-08,NSW,1h,2025,True,base,-448.7
2055,2024-08,NSW,1h,2025,True,base,-442.403
2056,2024-08,NSW,1h,2025,True,base,-436.182
2057,2024-08,NSW,1h,2025,True,base,-426.937
2058,2024-08,NSW,1h,2025,True,base,-423.078
2059,2024-08,NSW,1h,2025,True,base,-417.27
2060,2024-08,NSW,1h,2025,True,base,-407.546
2025,2024-08,NSW,2h,2025,True,base,-1049.096
2026,2024-08,NSW,2h,2025,True,base,-1029.884
2027,2024-08,NSW,2h,2025,True,base,-1008.106
2028,2024-08,NSW,2h,2025,True,base,-998.998
2029,2024-08,NSW,2h,2025,True,base,-985.344
2030,2024-08,NSW,2h,2025,True,base,-971.73
2031,2024-08,NSW,2h,2025,True,base,-947.152
2032,2024-08,NSW,2h,2025,True,base,-941.742
2033,2024-08,NSW,2h,2025,True,base,-923.909
2034,2024-08,NSW,2h,2025,True,base,-913.419
2035,2024-08,NSW,2h,2025,True,base,-897.629
2036,2024-08,NSW,2h,2025,True,base,-886.486
2037,2024-08,NSW,2h,2025,True,base,-870.366
2038,2024-08,NSW,2h,2025,True,base,-859.092
2039,2024-08,NSW,2h,2025,True,base,-843.339
2040,2024-08,NSW,2h,2025,True,base,-832.065
2041,2024-08,NSW,2h,2025,True,base,-814.517
2042,2024-08,NSW,2h,2025,True,base,-808.97
2043,2024-08,NSW,2h,2025,True,base,-795.206
