fy_year,vintage,region,duration,start_year,degraded,scenario_variant,value
2025,2024-08,NSW,1h,2025,True,base,456.597
2026,2024-08,NSW,1h,2025,True,base,450.184
2027,2024-08,NSW,1h,2025,True,base,441.949
2028,2024-08,NSW,1h,2025,True,base,436.996
2029,2024-08,NSW,1h,2025,True,base,431.73
2030,2024-08,NSW,1h,2025,True,base,424.171
2031,2024-08,NSW,1h,2025,True,base,418.061
2032,2024-08,NSW,1h,2025,True,base,414.596
2033,2024-08,NSW,1h,2025,True,base,405.63
2034,2024-08,NSW,1h,2025,True,base,399.23
2035,2024-08,NSW,1h,2025,True,base,394.22
2036,2024-08,NSW,1h,2025,True,base,382.848
2037,2024-08,NSW,1h,2025,True,base,378.217
2038,2024-08,NSW,1h,2025,True,base,370.966
2039,2024-08,NSW,1h,2025,True,base,365.099
2040,2024-08,NSW,1h,2025,True,base,361.538
2041,2024-08,NSW,1h,2025,True,base,352.924
2042,2024-08,NSW,1h,2025,True,base,349.235
2043,2024-08,NSW,1h,2025,True,base,345.785
2044,2024-08,NSW,1h,2025,True,base,338.797
2045,2024-08,NSW,1h,2025,True,base,450.82
2046,2024-08,NSW,1h,2025,True,base,450.251
2047,2024-08,NSW,1h,2025,True,base,440.451
2048,2024-08,NSW,1h,2025,True,base,433.105
2049,2024-08,NSW,1h,2025,True,base,426.687
2050,2024-08,NSW,1h,2025,True,base,418.984
2051,2024-08,NSW,1h,2025,True,base,414.084
2052,2024-08,NSW,1h,2025,True,base,406.175
2053,2024-08,NSW,1h,2025,True,base,401.265
2054,2024-08,NSW,1h,2025,True,base,394.236
2055,2024-08,NSW,1h,2025,True,base,388.695
2056,2024-08,NSW,1h,2025,True,base,382.8
2057,2024-08,NSW,1h,2025,True,base,375.058
2058,2024-08,NSW,1h,2025,True,base,371.65
2059,2024-08,NSW,1h,2025,True,base,366.449
2060,2024-08,NSW,1h,2025,True,base,357.628
2025,2024-08,NSW,2h,2025,True,base,921.872
2026,2024-08,NSW,2h,2025,True,base,906.263
2027,2024-08,NSW,2h,2025,True,base,886.557
2028,2024-08,NSW,2h,2025,True,base,878.894
2029,2024-08,NSW,2h,2025,True,base,867.518
2030,2024-08,NSW,2h,2025,True,base,856.009
2031,2024-08,NSW,2h,2025,True,base,833.268
2032,2024-08,NSW,2h,2025,True,base,829.217
2033,2024-08,NSW,2h,2025,True,base,813.363
