fy_year,vintage,region,duration,start_year,degraded,scenario_variant,value
2025,2024-08,NSW,1h,2025,True,base,88543.764
2026,2024-08,NSW,1h,2025,True,base,107358.025
2027,2024-08,NSW,1h,2025,True,base,84823.004
2028,2024-08,NSW,1h,2025,True,base,86225.164
2029,2024-08,NSW,1h,2025,True,base,100628.209
2030,2024-08,NSW,1h,2025,True,base,77281.479
2031,2024-08,NSW,1h,2025,True,base,62158.665
2032,2024-08,NSW,1h,2025,True,base,65537.761
2033,2024-08,NSW,1h,2025,True,base,69302.769
2034,2024-08,NSW,1h,2025,True,base,76456.055
2035,2024-08,NSW,1h,2025,True,base,78994.026
2036,2024-08,NSW,1h,2025,True,base,97402.815
2037,2024-08,NSW,1h,2025,True,base,96645.213
2038,2024-08,NSW,1h,2025,True,base,103738.121
2039,2024-08,NSW,1h,2025,True,base,101163.514
2040,2024-08,NSW,1h,2025,True,base,102160.592
2041,2024-08,NSW,1h,2025,True,base,79753.85
2042,2024-08,NSW,1h,2025,True,base,87499.885
2043,2024-08,NSW,1h,2025,True,base,83416.014
2044,2024-08,NSW,1h,2025,True,base,88661.013
2045,2024-08,NSW,1h,2025,True,base,108670.008
2046,2024-08,NSW,1h,2025,True,base,109940.478
2047,2024-08,NSW,1h,2025,True,base,108951.656
2048,2024-08,NSW,1h,2025,True,base,102714.142
2049,2024-08,NSW,1h,2025,True,base,109976.271
2050,2024-08,NSW,1h,2025,True,base,101589.885
2051,2024-08,NSW,1h,2025,True,base,104118.659
2052,2024-08,NSW,1h,2025,True,base,99430.339
2053,2024-08,NSW,1h,2025,True,base,99068.623
2054,2024-08,NSW,1h,2025,True,base,89990.667
2055,2024-08,NSW,1h,2025,True,base,94646.778
2056,2024-08,NSW,1h,2025,True,base,94625.349
2057,2024-08,NSW,1h,2025,True,base,87075.51
2058,2024-08,NSW,1h,2025,True,base,93946.437
2059,2024-08,NSW,1h,2025,True,base,85484.672
2060,2024-08,NSW,1h,2025,True,base,89191.787
2025,2024-08,NSW,2h,2025,True,base,126293.993
2026,2024-08,NSW,2h,2025,True,base,156237.09
2027,2024-08,NSW,2h,2025,True,base,117338.292
2028,2024-08,NSW,2h,2025,True,base,117353.227
2029,2024-08,NSW,2h,2025,True,base,144704.446
2030,2024-08,NSW,2h,2025,True,base,107887.752
2031,2024-08,NSW,2h,2025,True,base,84552.993
2032,2024-08,NSW,2h,2025,True,base,95399.758
2033,2024-08,NSW,2h,2025,True,base,95002.323
2034,2024-08,NSW,2h,2025,True,base,103769.621
2035,2024-08,NSW,2h,2025,True,base,105983.026
2036,2024-08,NSW,2h,2025,True,base,132551.704
2037,2024-08,NSW,2h,2025,True,base,132978.925
2038,2024-08,NSW,2h,2025,True,base,137839.705
2039,2024-08,NSW,2h,2025,True,base,136430.39
2040,2024-08,NSW,2h,2025,True,base,135124.363
2041,2024-08,NSW,2h,2025,True,base,112855.053
2042,2024-08,NSW,2h,2025,True,base,116814.056
2043,2024-08,NSW,2h,2025,True,base,117281.085
2044,2024-08,NSW,2h,2025,True,base,117866.296
2045,2024-08,NSW,2h,2025,True,base,149318.186
2046,2024-08,NSW,2h,2025,True,base,147734.298
2047,2024-08,NSW,2h,2025,True,base,145726.035
2048,2024-08,NSW,2h,2025,True,base,138870.722
2049,2024-08,NSW,2h,2025,True,base,144807.897
2050,2024-08,NSW,2h,2025,True,base,136223.9
2051,2024-08,NSW,2h,2025,True,base,140310.428
2052,2024-08,NSW,2h,2025,True,base,136909.557
2053,2024-08,NSW,2h,2025,True,base,132261.07
2054,2024-08,NSW,2h,2025,True,base,127897.071
2055,2024-08,NSW,2h,2025,True,base,129004.971
2056,2024-08,NSW,2h,2025,True,base,126796.624
2057,2024-08,NSW,2h,2025,True,base,127384.172
2058,2024-08,NSW,2h,2025,True,base,127500.765
2059,2024-08,NSW,2h,2025,True,base,122108.974
2060,2024-08,NSW,2h,2025,True,base,119127.526
2025,2024-08,NSW,4h,2025,True,base,187186.905
2026,2024-08,NSW,4h,2025,True,base,219550.689
2027,2024-08,NSW,4h,2025,True,base,169649.743
2028,2024-08,NSW,4h,2025,True,base,166804.461
2029,2024-08,NSW,4h,2025,True,base,202713.92
2030,2024-08,NSW,4h,2025,True,base,157266.179
2031,2024-08,NSW,4h,2025,True,base,117736.854
2032,2024-08,NSW,4h,2025,True,base,129559.174
2033,2024-08,NSW,4h,2025,True,base,131790.295
2034,2024-08,NSW,4h,2025,True,base,146352.187
2035,2024-08,NSW,4h,2025,True,base,148035.531
2036,2024-08,NSW,4h,2025,True,base,184924.471
2037,2024-08,NSW,4h,2025,True,base,186476.817
2038,2024-08,NSW,4h,2025,True,base,190817.463
2039,2024-08,NSW,4h,2025,True,base,187253.414
2040,2024-08,NSW,4h,2025,True,base,186192.935
2041,2024-08,NSW,4h,2025,True,base,161511.778
2042,2024-08,NSW,4h,2025,True,base,167147.974
2043,2024-08,NSW,4h,2025,True,base,167114.818
2044,2024-08,NSW,4h,2025,True,base,167472.569
2045,2024-08,NSW,4h,2025,True,base,209619.887
2046,2024-08,NSW,4h,2025,True,base,208689.002
2047,2024-08,NSW,4h,2025,True,base,205828.207
2048,2024-08,NSW,4h,2025,True,base,196780.236
2049,2024-08,NSW,4h,2025,True,base,203413.684
2050,2024-08,NSW,4h,2025,True,base,191109.938
2051,2024-08,NSW,4h,2025,True,base,195200.386
2052,2024-08,NSW,4h,2025,True,base,192132.474
2053,2024-08,NSW,4h,2025,True,base,185965.383
2054,2024-08,NSW,4h,2025,True,base,181925.985
2055,2024-08,NSW,4h,2025,True,base,181895.903
2056,2024-08,NSW,4h,2025,True,base,179413.149
2057,2024-08,NSW,4h,2025,True,base,180217.435
2058,2024-08,NSW,4h,2025,True,base,178351.828
2059,2024-08,NSW,4h,2025,True,base,172169.778
2060,2024-08,NSW,4h,2025,True,base,167232.214
2025,2024-08,QLD,1h,2025,True,base,106815.376
2026,2024-08,QLD,1h,2025,True,base,111977.213
2027,2024-08,QLD,1h,2025,True,base,116900.841
2028,2024-08,QLD,1h,2025,True,base,113643.355
2029,2024-08,QLD,1h,2025,True,base,121120.103
2030,2024-08,QLD,1h,2025,True,base,119878.729
2031,2024-08,QLD,1h,2025,True,base,101908.696
2032,2024-08,QLD,1h,2025,True,base,83621.952
2033,2024-08,QLD,1h,2025,True,base,84354.757
2034,2024-08,QLD,1h,2025,True,base,91109.053
2035,2024-08,QLD,1h,2025,True,base,92075.149
2036,2024-08,QLD,1h,2025,True,base,112446.543
2037,2024-08,QLD,1h,2025,True,base,102105.552
2038,2024-08,QLD,1h,2025,True,base,106084.072
2039,2024-08,QLD,1h,2025,True,base,95698.078
2040,2024-08,QLD,1h,2025,True,base,95649.261
2041,2024-08,QLD,1h,2025,True,base,93440.858
2042,2024-08,QLD,1h,2025,True,base,99004.863
2043,2024-08,QLD,1h,2025,True,base,91336.089
2044,2024-08,QLD,1h,2025,True,base,75120.936
2045,2024-08,QLD,1h,2025,True,base,94475.705
2046,2024-08,QLD,1h,2025,True,base,94722.978
2047,2024-08,QLD,1h,2025,True,base,91403.382
2048,2024-08,QLD,1h,2025,True,base,84086.67
2049,2024-08,QLD,1h,2025,True,base,82140.956
2050,2024-08,QLD,1h,2025,True,base,100250.318
2051,2024-08,QLD,1h,2025,True,base,99512.487
2052,2024-08,QLD,1h,2025,True,base,88663.0
2053,2024-08,QLD,1h,2025,True,base,97535.671
2054,2024-08,QLD,1h,2025,True,base,99295.198
2055,2024-08,QLD,1h,2025,True,base,87963.582
2056,2024-08,QLD,1h,2025,True,base,93221.08
2057,2024-08,QLD,1h,2025,True,base,99790.364
2058,2024-08,QLD,1h,2025,True,base,94497.516
2059,2024-08,QLD,1h,2025,True,base,97337.197
2060,2024-08,QLD,1h,2025,True,base,99662.299
2025,2024-08,QLD,2h,2025,True,base,145517.944
2026,2024-08,QLD,2h,2025,True,base,149742.778
2027,2024-08,QLD,2h,2025,True,base,156906.517
2028,2024-08,QLD,2h,2025,True,base,151051.075
2029,2024-08,QLD,2h,2025,True,base,159327.971
2030,2024-08,QLD,2h,2025,True,base,155342.461
2031,2024-08,QLD,2h,2025,True,base,134931.174
2032,2024-08,QLD,2h,2025,True,base,108630.652
2033,2024-08,QLD,2h,2025,True,base,111036.816
2034,2024-08,QLD,2h,2025,True,base,121017.242
2035,2024-08,QLD,2h,2025,True,base,123170.984
2036,2024-08,QLD,2h,2025,True,base,144373.777
2037,2024-08,QLD,2h,2025,True,base,141032.364
2038,2024-08,QLD,2h,2025,True,base,143886.671
2039,2024-08,QLD,2h,2025,True,base,127569.434
2040,2024-08,QLD,2h,2025,True,base,130023.72
2041,2024-08,QLD,2h,2025,True,base,128358.42
2042,2024-08,QLD,2h,2025,True,base,128857.768
2043,2024-08,QLD,2h,2025,True,base,120938.46
2044,2024-08,QLD,2h,2025,True,base,114103.34
2045,2024-08,QLD,2h,2025,True,base,128668.139
2046,2024-08,QLD,2h,2025,True,base,130168.472
2047,2024-08,QLD,2h,2025,True,base,126586.016
2048,2024-08,QLD,2h,2025,True,base,120923.938
2049,2024-08,QLD,2h,2025,True,base,115540.857
2050,2024-08,QLD,2h,2025,True,base,134078.945
2051,2024-08,QLD,2h,2025,True,base,133770.721
2052,2024-08,QLD,2h,2025,True,base,122180.33
2053,2024-08,QLD,2h,2025,True,base,132081.665
2054,2024-08,QLD,2h,2025,True,base,134445.571
2055,2024-08,QLD,2h,2025,True,base,126681.417
2056,2024-08,QLD,2h,2025,True,base,128961.83
2057,2024-08,QLD,2h,2025,True,base,132794.426
2058,2024-08,QLD,2h,2025,True,base,127174.21
2059,2024-08,QLD,2h,2025,True,base,133127.718
2060,2024-08,QLD,2h,2025,True,base,130745.831
2025,2024-08,QLD,4h,2025,True,base,206770.631
2026,2024-08,QLD,4h,2025,True,base,212657.751
2027,2024-08,QLD,4h,2025,True,base,223352.227
2028,2024-08,QLD,4h,2025,True,base,212183.028
2029,2024-08,QLD,4h,2025,True,base,220864.987
2030,2024-08,QLD,4h,2025,True,base,211920.054
2031,2024-08,QLD,4h,2025,True,base,182974.455
2032,2024-08,QLD,4h,2025,True,base,145905.803
2033,2024-08,QLD,4h,2025,True,base,146989.419
2034,2024-08,QLD,4h,2025,True,base,164695.253
2035,2024-08,QLD,4h,2025,True,base,166000.612
2036,2024-08,QLD,4h,2025,True,base,193403.98
2037,2024-08,QLD,4h,2025,True,base,189108.042
2038,2024-08,QLD,4h,2025,True,base,192029.818
2039,2024-08,QLD,4h,2025,True,base,176251.453
2040,2024-08,QLD,4h,2025,True,base,175875.7
2041,2024-08,QLD,4h,2025,True,base,174739.733
2042,2024-08,QLD,4h,2025,True,base,174347.804
2043,2024-08,QLD,4h,2025,True,base,168037.677
2044,2024-08,QLD,4h,2025,True,base,164910.29
2045,2024-08,QLD,4h,2025,True,base,185102.336
2046,2024-08,QLD,4h,2025,True,base,188958.414
2047,2024-08,QLD,4h,2025,True,base,183373.961
2048,2024-08,QLD,4h,2025,True,base,177726.644
2049,2024-08,QLD,4h,2025,True,base,172880.901
2050,2024-08,QLD,4h,2025,True,base,189769.663
2051,2024-08,QLD,4h,2025,True,base,191791.948
2052,2024-08,QLD,4h,2025,True,base,180777.021
2053,2024-08,QLD,4h,2025,True,base,190478.367
2054,2024-08,QLD,4h,2025,True,base,191764.912
