fy_year,vintage,region,duration,start_year,degraded,scenario_variant,value
2025,2024-08,NSW,1h,2025,True,base,51607.238
2026,2024-08,NSW,1h,2025,True,base,17364.075
2027,2024-08,NSW,1h,2025,True,base,16251.937
2028,2024-08,NSW,1h,2025,True,base,15037.584
2029,2024-08,NSW,1h,2025,True,base,17841.847
2030,2024-08,NSW,1h,2025,True,base,16072.146
2031,2024-08,NSW,1h,2025,True,base,10984.324
2032,2024-08,NSW,1h,2025,True,base,9750.105
2033,2024-08,NSW,1h,2025,True,base,10690.855
2034,2024-08,NSW,1h,2025,True,base,13974.236
2035,2024-08,NSW,1h,2025,True,base,13013.151
2036,2024-08,NSW,1h,2025,True,base,22733.105
2037,2024-08,NSW,1h,2025,True,base,24337.909
2038,2024-08,NSW,1h,2025,True,base,24478.86
2039,2024-08,NSW,1h,2025,True,base,23827.012
2040,2024-08,NSW,1h,2025,True,base,24112.04
2041,2024-08,NSW,1h,2025,True,base,24058.121
2042,2024-08,NSW,1h,2025,True,base,24243.284
2043,2024-08,NSW,1h,2025,True,base,24991.79
2044,2024-08,NSW,1h,2025,True,base,25212.921
2045,2024-08,NSW,1h,2025,True,base,27695.279
2046,2024-08,NSW,1h,2025,True,base,27611.033
2047,2024-08,NSW,1h,2025,True,base,27191.33
2048,2024-08,NSW,1h,2025,True,base,26453.681
2049,2024-08,NSW,1h,2025,True,base,25578.513
2050,2024-08,NSW,1h,2025,True,base,26685.45
2051,2024-08,NSW,1h,2025,True,base,26641.715
2052,2024-08,NSW,1h,2025,True,base,27467.136
2053,2024-08,NSW,1h,2025,True,base,26962.045
2054,2024-08,NSW,1h,2025,True,base,26367.478
2055,2024-08,NSW,1h,2025,True,base,27370.655
2056,2024-08,NSW,1h,2025,True,base,26601.306
2057,2024-08,NSW,1h,2025,True,base,26832.698
2058,2024-08,NSW,1h,2025,True,base,25718.446
2059,2024-08,NSW,1h,2025,True,base,25930.683
2060,2024-08,NSW,1h,2025,True,base,26876.463
2025,2024-08,NSW,2h,2025,True,base,67242.385
2026,2024-08,NSW,2h,2025,True,base,21933.89
2027,2024-08,NSW,2h,2025,True,base,20749.431
2028,2024-08,NSW,2h,2025,True,base,19312.695
2029,2024-08,NSW,2h,2025,True,base,23333.538
2030,2024-08,NSW,2h,2025,True,base,21035.991
2031,2024-08,NSW,2h,2025,True,base,13472.264
2032,2024-08,NSW,2h,2025,True,base,12264.089
2033,2024-08,NSW,2h,2025,True,base,13078.959
2034,2024-08,NSW,2h,2025,True,base,17794.27
2035,2024-08,NSW,2h,2025,True,base,16576.663
2036,2024-08,NSW,2h,2025,True,base,30410.502
2037,2024-08,NSW,2h,2025,True,base,32049.157
2038,2024-08,NSW,2h,2025,True,base,32739.211
2039,2024-08,NSW,2h,2025,True,base,31620.022
2040,2024-08,NSW,2h,2025,True,base,32582.649
2041,2024-08,NSW,2h,2025,True,base,32076.181
2042,2024-08,NSW,2h,2025,True,base,33044.957
2043,2024-08,NSW,2h,2025,True,base,33619.825
2044,2024-08,NSW,2h,2025,True,base,35298.37
2045,2024-08,NSW,2h,2025,True,base,38659.991
2046,2024-08,NSW,2h,2025,True,base,38068.498
2047,2024-08,NSW,2h,2025,True,base,37710.34
2048,2024-08,NSW,2h,2025,True,base,36543.51
2049,2024-08,NSW,2h,2025,True,base,35401.258
2050,2024-08,NSW,2h,2025,True,base,36404.773
2051,2024-08,NSW,2h,2025,True,base,36223.678
2052,2024-08,NSW,2h,2025,True,base,37942.382
2053,2024-08,NSW,2h,2025,True,base,36533.516
2054,2024-08,NSW,2h,2025,True,base,35955.581
2055,2024-08,NSW,2h,2025,True,base,37132.131
2056,2024-08,NSW,2h,2025,True,base,36868.213
2057,2024-08,NSW,2h,2025,True,base,36500.744
2058,2024-08,NSW,2h,2025,True,base,34968.903
2059,2024-08,NSW,2h,2025,True,base,34590.62
2060,2024-08,NSW,2h,2025,True,base,35681.612
2025,2024-08,NSW,4h,2025,True,base,83979.814
2026,2024-08,NSW,4h,2025,True,base,28155.909
2027,2024-08,NSW,4h,2025,True,base,27557.061
2028,2024-08,NSW,4h,2025,True,base,26017.143
2029,2024-08,NSW,4h,2025,True,base,31943.394
2030,2024-08,NSW,4h,2025,True,base,29246.199
2031,2024-08,NSW,4h,2025,True,base,18105.798
2032,2024-08,NSW,4h,2025,True,base,16724.135
2033,2024-08,NSW,4h,2025,True,base,17722.193
2034,2024-08,NSW,4h,2025,True,base,24651.615
2035,2024-08,NSW,4h,2025,True,base,23121.644
2036,2024-08,NSW,4h,2025,True,base,43091.881
2037,2024-08,NSW,4h,2025,True,base,43786.411
2038,2024-08,NSW,4h,2025,True,base,45307.907
2039,2024-08,NSW,4h,2025,True,base,44011.194
2040,2024-08,NSW,4h,2025,True,base,45380.746
2041,2024-08,NSW,4h,2025,True,base,44536.517
2042,2024-08,NSW,4h,2025,True,base,45682.237
2043,2024-08,NSW,4h,2025,True,base,47451.482
2044,2024-08,NSW,4h,2025,True,base,49175.776
2045,2024-08,NSW,4h,2025,True,base,54570.864
2046,2024-08,NSW,4h,2025,True,base,53713.717
2047,2024-08,NSW,4h,2025,True,base,53104.27
2048,2024-08,NSW,4h,2025,True,base,52136.488
2049,2024-08,NSW,4h,2025,True,base,50698.781
2050,2024-08,NSW,4h,2025,True,base,50645.162
2051,2024-08,NSW,4h,2025,True,base,51549.933
2052,2024-08,NSW,4h,2025,True,base,53066.158
2053,2024-08,NSW,4h,2025,True,base,51020.71
2054,2024-08,NSW,4h,2025,True,base,50395.026
2055,2024-08,NSW,4h,2025,True,base,51307.507
2056,2024-08,NSW,4h,2025,True,base,51196.132
2057,2024-08,NSW,4h,2025,True,base,50050.605
2058,2024-08,NSW,4h,2025,True,base,48220.229
2059,2024-08,NSW,4h,2025,True,base,46818.588
2060,2024-08,NSW,4h,2025,True,base,47792.182
2025,2024-08,QLD,1h,2025,True,base,49698.751
2026,2024-08,QLD,1h,2025,True,base,15255.689
2027,2024-08,QLD,1h,2025,True,base,13435.312
2028,2024-08,QLD,1h,2025,True,base,12411.206
2029,2024-08,QLD,1h,2025,True,base,15840.318
2030,2024-08,QLD,1h,2025,True,base,14235.829
2031,2024-08,QLD,1h,2025,True,base,9990.644
2032,2024-08,QLD,1h,2025,True,base,9161.162
2033,2024-08,QLD,1h,2025,True,base,10224.721
2034,2024-08,QLD,1h,2025,True,base,13041.867
2035,2024-08,QLD,1h,2025,True,base,12122.278
2036,2024-08,QLD,1h,2025,True,base,21730.388
2037,2024-08,QLD,1h,2025,True,base,23226.563
2038,2024-08,QLD,1h,2025,True,base,23301.902
2039,2024-08,QLD,1h,2025,True,base,22991.777
2040,2024-08,QLD,1h,2025,True,base,22407.824
2041,2024-08,QLD,1h,2025,True,base,22572.274
2042,2024-08,QLD,1h,2025,True,base,22507.892
2043,2024-08,QLD,1h,2025,True,base,23188.944
2044,2024-08,QLD,1h,2025,True,base,23835.092
2045,2024-08,QLD,1h,2025,True,base,25797.035
2046,2024-08,QLD,1h,2025,True,base,25907.115
2047,2024-08,QLD,1h,2025,True,base,25438.968
2048,2024-08,QLD,1h,2025,True,base,24395.266
2049,2024-08,QLD,1h,2025,True,base,23735.301
2050,2024-08,QLD,1h,2025,True,base,25322.362
2051,2024-08,QLD,1h,2025,True,base,24351.389
2052,2024-08,QLD,1h,2025,True,base,24622.302
2053,2024-08,QLD,1h,2025,True,base,24825.826
2054,2024-08,QLD,1h,2025,True,base,24588.946
2055,2024-08,QLD,1h,2025,True,base,25224.63
2056,2024-08,QLD,1h,2025,True,base,24549.951
2057,2024-08,QLD,1h,2025,True,base,24053.081
2058,2024-08,QLD,1h,2025,True,base,23782.822
2059,2024-08,QLD,1h,2025,True,base,23385.014
2060,2024-08,QLD,1h,2025,True,base,24310.761
2025,2024-08,QLD,2h,2025,True,base,65045.602
2026,2024-08,QLD,2h,2025,True,base,19707.018
2027,2024-08,QLD,2h,2025,True,base,17547.664
2028,2024-08,QLD,2h,2025,True,base,16441.162
2029,2024-08,QLD,2h,2025,True,base,20662.709
2030,2024-08,QLD,2h,2025,True,base,18622.086
2031,2024-08,QLD,2h,2025,True,base,12346.347
2032,2024-08,QLD,2h,2025,True,base,11372.062
2033,2024-08,QLD,2h,2025,True,base,12605.293
2034,2024-08,QLD,2h,2025,True,base,16793.884
2035,2024-08,QLD,2h,2025,True,base,15703.118
2036,2024-08,QLD,2h,2025,True,base,29575.446
2037,2024-08,QLD,2h,2025,True,base,30568.263
2038,2024-08,QLD,2h,2025,True,base,31221.666
2039,2024-08,QLD,2h,2025,True,base,30911.557
2040,2024-08,QLD,2h,2025,True,base,30821.582
2041,2024-08,QLD,2h,2025,True,base,30483.157
2042,2024-08,QLD,2h,2025,True,base,30840.508
2043,2024-08,QLD,2h,2025,True,base,32003.784
2044,2024-08,QLD,2h,2025,True,base,32850.751
2045,2024-08,QLD,2h,2025,True,base,36126.209
2046,2024-08,QLD,2h,2025,True,base,36371.295
2047,2024-08,QLD,2h,2025,True,base,35455.832
2048,2024-08,QLD,2h,2025,True,base,34803.584
2049,2024-08,QLD,2h,2025,True,base,33726.612
2050,2024-08,QLD,2h,2025,True,base,34785.327
2051,2024-08,QLD,2h,2025,True,base,34386.18
2052,2024-08,QLD,2h,2025,True,base,35447.229
2053,2024-08,QLD,2h,2025,True,base,34639.729
2054,2024-08,QLD,2h,2025,True,base,34255.861
2055,2024-08,QLD,2h,2025,True,base,34926.02
2056,2024-08,QLD,2h,2025,True,base,34636.883
2057,2024-08,QLD,2h,2025,True,base,33838.272
2058,2024-08,QLD,2h,2025,True,base,32675.645
2059,2024-08,QLD,2h,2025,True,base,32116.975
2060,2024-08,QLD,2h,2025,True,base,33080.323
2025,2024-08,QLD,4h,2025,True,base,81395.43
2026,2024-08,QLD,4h,2025,True,base,26253.982
2027,2024-08,QLD,4h,2025,True,base,23955.583
2028,2024-08,QLD,4h,2025,True,base,23223.781
2029,2024-08,QLD,4h,2025,True,base,29146.293
2030,2024-08,QLD,4h,2025,True,base,26105.107
2031,2024-08,QLD,4h,2025,True,base,16426.979
2032,2024-08,QLD,4h,2025,True,base,15687.962
2033,2024-08,QLD,4h,2025,True,base,16831.848
2034,2024-08,QLD,4h,2025,True,base,23166.509
2035,2024-08,QLD,4h,2025,True,base,21743.164
2036,2024-08,QLD,4h,2025,True,base,41727.891
2037,2024-08,QLD,4h,2025,True,base,42980.761
2038,2024-08,QLD,4h,2025,True,base,43889.667
2039,2024-08,QLD,4h,2025,True,base,43089.465
2040,2024-08,QLD,4h,2025,True,base,43882.058
2041,2024-08,QLD,4h,2025,True,base,42640.26
2042,2024-08,QLD,4h,2025,True,base,44161.053
2043,2024-08,QLD,4h,2025,True,base,45527.65
2044,2024-08,QLD,4h,2025,True,base,47395.274
2045,2024-08,QLD,4h,2025,True,base,52046.194
2046,2024-08,QLD,4h,2025,True,base,51814.587
2047,2024-08,QLD,4h,2025,True,base,51157.063
2048,2024-08,QLD,4h,2025,True,base,49993.075
2049,2024-08,QLD,4h,2025,True,base,48450.382
2050,2024-08,QLD,4h,2025,True,base,48807.23
2051,2024-08,QLD,4h,2025,True,base,49164.805
2052,2024-08,QLD,4h,2025,True,base,49195.871
2053,2024-08,QLD,4h,2025,True,base,48588.883
2054,2024-08,QLD,4h,2025,True,base,47954.418
2055,2024-08,QLD,4h,2025,True,base,48732.9
2056,2024-08,QLD,4h,2025,True,base,48237.562
2057,2024-08,QLD,4h,2025,True,base,47218.181
2058,2024-08,QLD,4h,2025,True,base,45420.73
2059,2024-08,QLD,4h,2025,True,base,44718.92
2060,2024-08,QLD,4h,2025,True,base,44657.386
2025,2024-08,SA,1h,2025,True,base,44015.562
2026,2024-08,SA,1h,2025,True,base,14478.013
2027,2024-08,SA,1h,2025,True,base,13031.334
2028,2024-08,SA,1h,2025,True,base,12172.623
2029,2024-08,SA,1h,2025,True,base,15103.468
2030,2024-08,SA,1h,2025,True,base,13440.517
2031,2024-08,SA,1h,2025,True,base,9451.997
2032,2024-08,SA,1h,2025,True,base,8665.024
2033,2024-08,SA,1h,2025,True,base,9495.079
2034,2024-08,SA,1h,2025,True,base,11929.426
2035,2024-08,SA,1h,2025,True,base,11289.813
2036,2024-08,SA,1h,2025,True,base,19618.652
2037,2024-08,SA,1h,2025,True,base,21769.783
2038,2024-08,SA,1h,2025,True,base,21938.904
2039,2024-08,SA,1h,2025,True,base,21490.04
2040,2024-08,SA,1h,2025,True,base,21108.999
2041,2024-08,SA,1h,2025,True,base,21375.535
2042,2024-08,SA,1h,2025,True,base,20999.374
2043,2024-08,SA,1h,2025,True,base,20640.002
2044,2024-08,SA,1h,2025,True,base,21495.447
2045,2024-08,SA,1h,2025,True,base,23089.718
2046,2024-08,SA,1h,2025,True,base,23831.762
2047,2024-08,SA,1h,2025,True,base,23168.588
2048,2024-08,SA,1h,2025,True,base,22468.352
2049,2024-08,SA,1h,2025,True,base,21276.166
2050,2024-08,SA,1h,2025,True,base,22790.819
2051,2024-08,SA,1h,2025,True,base,22549.421
2052,2024-08,SA,1h,2025,True,base,23254.613
2053,2024-08,SA,1h,2025,True,base,22361.531
2054,2024-08,SA,1h,2025,True,base,22024.106
2055,2024-08,SA,1h,2025,True,base,22223.439
2056,2024-08,SA,1h,2025,True,base,22313.808
2057,2024-08,SA,1h,2025,True,base,22227.94
2058,2024-08,SA,1h,2025,True,base,21435.265
2059,2024-08,SA,1h,2025,True,base,21472.639
2060,2024-08,SA,1h,2025,True,base,22726.27
2025,2024-08,SA,2h,2025,True,base,58015.643
2026,2024-08,SA,2h,2025,True,base,19165.01
2027,2024-08,SA,2h,2025,True,base,17328.854
2028,2024-08,SA,2h,2025,True,base,16078.763
2029,2024-08,SA,2h,2025,True,base,19876.354
2030,2024-08,SA,2h,2025,True,base,17514.488
2031,2024-08,SA,2h,2025,True,base,11516.733
2032,2024-08,SA,2h,2025,True,base,10800.866
2033,2024-08,SA,2h,2025,True,base,11669.027
2034,2024-08,SA,2h,2025,True,base,15867.621
2035,2024-08,SA,2h,2025,True,base,14736.968
2036,2024-08,SA,2h,2025,True,base,27008.238
2037,2024-08,SA,2h,2025,True,base,29061.781
2038,2024-08,SA,2h,2025,True,base,29572.486
2039,2024-08,SA,2h,2025,True,base,28775.169
2040,2024-08,SA,2h,2025,True,base,29619.769
2041,2024-08,SA,2h,2025,True,base,29228.095
2042,2024-08,SA,2h,2025,True,base,29572.007
2043,2024-08,SA,2h,2025,True,base,29700.592
2044,2024-08,SA,2h,2025,True,base,30581.956
2045,2024-08,SA,2h,2025,True,base,33667.48
2046,2024-08,SA,2h,2025,True,base,34077.819
2047,2024-08,SA,2h,2025,True,base,33586.179
2048,2024-08,SA,2h,2025,True,base,32493.052
2049,2024-08,SA,2h,2025,True,base,30945.794
2050,2024-08,SA,2h,2025,True,base,32425.752
2051,2024-08,SA,2h,2025,True,base,32712.432
2052,2024-08,SA,2h,2025,True,base,33358.81
2053,2024-08,SA,2h,2025,True,base,32193.279
2054,2024-08,SA,2h,2025,True,base,32033.686
2055,2024-08,SA,2h,2025,True,base,32273.323
2056,2024-08,SA,2h,2025,True,base,31907.348
2057,2024-08,SA,2h,2025,True,base,31994.747
2058,2024-08,SA,2h,2025,True,base,30909.834
2059,2024-08,SA,2h,2025,True,base,30581.254
2060,2024-08,SA,2h,2025,True,base,31562.608
2025,2024-08,SA,4h,2025,True,base,75977.306
2026,2024-08,SA,4h,2025,True,base,26618.447
2027,2024-08,SA,4h,2025,True,base,24236.168
2028,2024-08,SA,4h,2025,True,base,22393.658
2029,2024-08,SA,4h,2025,True,base,28017.043
2030,2024-08,SA,4h,2025,True,base,24379.339
2031,2024-08,SA,4h,2025,True,base,14679.019
2032,2024-08,SA,4h,2025,True,base,14216.722
