fy_year,vintage,region,duration,start_year,degraded,scenario_variant,value
2025,2024-08,NSW,1h,2025,True,base,-9292.451
2026,2024-08,NSW,1h,2025,True,base,-16463.429
2027,2024-08,NSW,1h,2025,True,base,-15200.909
2028,2024-08,NSW,1h,2025,True,base,-19747.483
2029,2024-08,NSW,1h,2025,True,base,-21706.219
2030,2024-08,NSW,1h,2025,True,base,-17735.118
2031,2024-08,NSW,1h,2025,True,base,-17454.829
2032,2024-08,NSW,1h,2025,True,base,-20027.238
2033,2024-08,NSW,1h,2025,True,base,-21070.854
2034,2024-08,NSW,1h,2025,True,base,-21124.347
2035,2024-08,NSW,1h,2025,True,base,-20190.433
2036,2024-08,NSW,1h,2025,True,base,-20014.996
2037,2024-08,NSW,1h,2025,True,base,-19143.594
2038,2024-08,NSW,1h,2025,True,base,-17922.612
2039,2024-08,NSW,1h,2025,True,base,-19811.721
2040,2024-08,NSW,1h,2025,True,base,-20488.086
2041,2024-08,NSW,1h,2025,True,base,-19925.539
2042,2024-08,NSW,1h,2025,True,base,-18303.796
2043,2024-08,NSW,1h,2025,True,base,-17123.612
2044,2024-08,NSW,1h,2025,True,base,-16878.585
2045,2024-08,NSW,1h,2025,True,base,-22841.046
2046,2024-08,NSW,1h,2025,True,base,-22278.813
2047,2024-08,NSW,1h,2025,True,base,-22618.812
2048,2024-08,NSW,1h,2025,True,base,-23516.431
2049,2024-08,NSW,1h,2025,True,base,-22985.79
2050,2024-08,NSW,1h,2025,True,base,-20818.747
2051,2024-08,NSW,1h,2025,True,base,-21315.595
2052,2024-08,NSW,1h,2025,True,base,-19672.662
2053,2024-08,NSW,1h,2025,True,base,-20961.636
2054,2024-08,NSW,1h,2025,True,base,-21572.784
2055,2024-08,NSW,1h,2025,True,base,-20645.268
2056,2024-08,NSW,1h,2025,True,base,-19934.679
2057,2024-08,NSW,1h,2025,True,base,-20201.075
2058,2024-08,NSW,1h,2025,True,base,-20022.52
2059,2024-08,NSW,1h,2025,True,base,-18611.154
2060,2024-08,NSW,1h,2025,True,base,-20202.666
2025,2024-08,NSW,2h,2025,True,base,-25033.95
2026,2024-08,NSW,2h,2025,True,base,-34623.823
2027,2024-08,NSW,2h,2025,True,base,-31668.567
2028,2024-08,NSW,2h,2025,True,base,-41585.109
2029,2024-08,NSW,2h,2025,True,base,-37370.758
2030,2024-08,NSW,2h,2025,True,base,-35515.387
2031,2024-08,NSW,2h,2025,True,base,-36300.624
2032,2024-08,NSW,2h,2025,True,base,-41655.898
2033,2024-08,NSW,2h,2025,True,base,-43022.664
2034,2024-08,NSW,2h,2025,True,base,-44284.607
2035,2024-08,NSW,2h,2025,True,base,-42572.607
2036,2024-08,NSW,2h,2025,True,base,-42339.78
2037,2024-08,NSW,2h,2025,True,base,-40252.872
2038,2024-08,NSW,2h,2025,True,base,-39559.268
2039,2024-08,NSW,2h,2025,True,base,-41073.697
2040,2024-08,NSW,2h,2025,True,base,-43293.773
2041,2024-08,NSW,2h,2025,True,base,-42023.665
2042,2024-08,NSW,2h,2025,True,base,-39172.467
2043,2024-08,NSW,2h,2025,True,base,-37060.498
2044,2024-08,NSW,2h,2025,True,base,-37022.45
2045,2024-08,NSW,2h,2025,True,base,-48234.997
2046,2024-08,NSW,2h,2025,True,base,-49506.901
2047,2024-08,NSW,2h,2025,True,base,-48368.442
2048,2024-08,NSW,2h,2025,True,base,-49992.655
2049,2024-08,NSW,2h,2025,True,base,-49277.57
2050,2024-08,NSW,2h,2025,True,base,-45561.143
2051,2024-08,NSW,2h,2025,True,base,-46383.487
2052,2024-08,NSW,2h,2025,True,base,-42945.059
2053,2024-08,NSW,2h,2025,True,base,-44182.566
2054,2024-08,NSW,2h,2025,True,base,-44936.134
2055,2024-08,NSW,2h,2025,True,base,-44578.678
2056,2024-08,NSW,2h,2025,True,base,-42934.354
2057,2024-08,NSW,2h,2025,True,base,-43244.32
2058,2024-08,NSW,2h,2025,True,base,-42994.622
2059,2024-08,NSW,2h,2025,True,base,-42087.347
2060,2024-08,NSW,2h,2025,True,base,-41749.877
2025,2024-08,NSW,4h,2025,True,base,-69890.772
2026,2024-08,NSW,4h,2025,True,base,-77363.294
2027,2024-08,NSW,4h,2025,True,base,-69227.627
2028,2024-08,NSW,4h,2025,True,base,-88360.088
2029,2024-08,NSW,4h,2025,True,base,-78419.97
2030,2024-08,NSW,4h,2025,True,base,-72713.717
2031,2024-08,NSW,4h,2025,True,base,-74924.151
2032,2024-08,NSW,4h,2025,True,base,-87119.163
2033,2024-08,NSW,4h,2025,True,base,-88654.825
2034,2024-08,NSW,4h,2025,True,base,-91791.472
2035,2024-08,NSW,4h,2025,True,base,-88014.353
2036,2024-08,NSW,4h,2025,True,base,-89348.522
2037,2024-08,NSW,4h,2025,True,base,-86139.941
2038,2024-08,NSW,4h,2025,True,base,-85201.591
2039,2024-08,NSW,4h,2025,True,base,-87731.558
2040,2024-08,NSW,4h,2025,True,base,-91908.864
2041,2024-08,NSW,4h,2025,True,base,-90403.42
2042,2024-08,NSW,4h,2025,True,base,-82815.283
2043,2024-08,NSW,4h,2025,True,base,-79873.576
2044,2024-08,NSW,4h,2025,True,base,-79195.542
2045,2024-08,NSW,4h,2025,True,base,-103694.654
2046,2024-08,NSW,4h,2025,True,base,-105664.19
2047,2024-08,NSW,4h,2025,True,base,-102431.103
2048,2024-08,NSW,4h,2025,True,base,-104648.915
2049,2024-08,NSW,4h,2025,True,base,-102349.391
2050,2024-08,NSW,4h,2025,True,base,-97530.854
2051,2024-08,NSW,4h,2025,True,base,-97129.304
2052,2024-08,NSW,4h,2025,True,base,-92813.381
2053,2024-08,NSW,4h,2025,True,base,-94427.915
2054,2024-08,NSW,4h,2025,True,base,-94716.66
