fy_year,vintage,region,duration,start_year,degraded,scenario_variant,value
2025,2024-08,NSW,1h,2025,True,base,79398.197
2026,2024-08,NSW,1h,2025,True,base,115014.56
2027,2024-08,NSW,1h,2025,True,base,90927.046
2028,2024-08,NSW,1h,2025,True,base,98324.403
2029,2024-08,NSW,1h,2025,True,base,114502.189
2030,2024-08,NSW,1h,2025,True,base,87245.834
2031,2024-08,NSW,1h,2025,True,base,73133.188
2032,2024-08,NSW,1h,2025,True,base,79375.34
2033,2024-08,NSW,1h,2025,True,base,83744.189
2034,2024-08,NSW,1h,2025,True,base,90270.399
2035,2024-08,NSW,1h,2025,True,base,92074.114
2036,2024-08,NSW,1h,2025,True,base,110834.041
2037,2024-08,NSW,1h,2025,True,base,109217.062
2038,2024-08,NSW,1h,2025,True,base,114580.437
2039,2024-08,NSW,1h,2025,True,base,113779.378
2040,2024-08,NSW,1h,2025,True,base,115331.763
2041,2024-08,NSW,1h,2025,True,base,90934.248
2042,2024-08,NSW,1h,2025,True,base,97006.015
2043,2024-08,NSW,1h,2025,True,base,92202.186
2044,2024-08,NSW,1h,2025,True,base,96896.208
2045,2024-08,NSW,1h,2025,True,base,124423.795
2046,2024-08,NSW,1h,2025,True,base,124900.753
2047,2024-08,NSW,1h,2025,True,base,123915.502
2048,2024-08,NSW,1h,2025,True,base,118136.121
2049,2024-08,NSW,1h,2025,True,base,124591.494
2050,2024-08,NSW,1h,2025,True,base,114765.389
2051,2024-08,NSW,1h,2025,True,base,116415.725
2052,2024-08,NSW,1h,2025,True,base,110577.272
2053,2024-08,NSW,1h,2025,True,base,111871.222
2054,2024-08,NSW,1h,2025,True,base,102746.698
2055,2024-08,NSW,1h,2025,True,base,105717.92
2056,2024-08,NSW,1h,2025,True,base,104669.977
2057,2024-08,NSW,1h,2025,True,base,97470.148
2058,2024-08,NSW,1h,2025,True,base,104814.07
2059,2024-08,NSW,1h,2025,True,base,93920.364
2060,2024-08,NSW,1h,2025,True,base,98740.363
2025,2024-08,NSW,2h,2025,True,base,123705.137
2026,2024-08,NSW,2h,2025,True,base,179867.708
2027,2024-08,NSW,2h,2025,True,base,138226.763
2028,2024-08,NSW,2h,2025,True,base,149498.576
2029,2024-08,NSW,2h,2025,True,base,172929.91
2030,2024-08,NSW,2h,2025,True,base,134485.449
2031,2024-08,NSW,2h,2025,True,base,112617.069
2032,2024-08,NSW,2h,2025,True,base,128763.355
2033,2024-08,NSW,2h,2025,True,base,129758.412
2034,2024-08,NSW,2h,2025,True,base,138704.82
2035,2024-08,NSW,2h,2025,True,base,139474.356
2036,2024-08,NSW,2h,2025,True,base,166866.434
2037,2024-08,NSW,2h,2025,True,base,165421.383
2038,2024-08,NSW,2h,2025,True,base,169162.598
2039,2024-08,NSW,2h,2025,True,base,169573.576
2040,2024-08,NSW,2h,2025,True,base,169385.295
2041,2024-08,NSW,2h,2025,True,base,146044.029
2042,2024-08,NSW,2h,2025,True,base,146896.824
2043,2024-08,NSW,2h,2025,True,base,146314.476
2044,2024-08,NSW,2h,2025,True,base,147036.561
2045,2024-08,NSW,2h,2025,True,base,188085.838
2046,2024-08,NSW,2h,2025,True,base,187926.891
2047,2024-08,NSW,2h,2025,True,base,185015.961
2048,2024-08,NSW,2h,2025,True,base,179808.454
2049,2024-08,NSW,2h,2025,True,base,183226.537
2050,2024-08,NSW,2h,2025,True,base,171796.935
2051,2024-08,NSW,2h,2025,True,base,176703.697
2052,2024-08,NSW,2h,2025,True,base,169161.538
2053,2024-08,NSW,2h,2025,True,base,166129.921
2054,2024-08,NSW,2h,2025,True,base,161897.299
2055,2024-08,NSW,2h,2025,True,base,162181.799
2056,2024-08,NSW,2h,2025,True,base,158088.333
2057,2024-08,NSW,2h,2025,True,base,158856.569
2058,2024-08,NSW,2h,2025,True,base,160210.349
2059,2024-08,NSW,2h,2025,True,base,152584.099
2060,2024-08,NSW,2h,2025,True,base,149062.493
2025,2024-08,NSW,4h,2025,True,base,209951.276
2026,2024-08,NSW,4h,2025,True,base,278106.753
2027,2024-08,NSW,4h,2025,True,base,221985.804
2028,2024-08,NSW,4h,2025,True,base,237801.78
2029,2024-08,NSW,4h,2025,True,base,264609.824
2030,2024-08,NSW,4h,2025,True,base,214901.045
2031,2024-08,NSW,4h,2025,True,base,178264.596
2032,2024-08,NSW,4h,2025,True,base,200332.891
2033,2024-08,NSW,4h,2025,True,base,204962.071
2034,2024-08,NSW,4h,2025,True,base,223279.191
2035,2024-08,NSW,4h,2025,True,base,220845.625
2036,2024-08,NSW,4h,2025,True,base,262488.218
2037,2024-08,NSW,4h,2025,True,base,260557.122
2038,2024-08,NSW,4h,2025,True,base,263253.445
2039,2024-08,NSW,4h,2025,True,base,261024.575
2040,2024-08,NSW,4h,2025,True,base,263942.047
2041,2024-08,NSW,4h,2025,True,base,238358.54
2042,2024-08,NSW,4h,2025,True,base,237432.773
2043,2024-08,NSW,4h,2025,True,base,235103.542
2044,2024-08,NSW,4h,2025,True,base,236125.916
2045,2024-08,NSW,4h,2025,True,base,300822.379
2046,2024-08,NSW,4h,2025,True,base,300762.748
2047,2024-08,NSW,4h,2025,True,base,294884.394
2048,2024-08,NSW,4h,2025,True,base,287818.178
2049,2024-08,NSW,4h,2025,True,base,291543.595
2050,2024-08,NSW,4h,2025,True,base,274787.44
2051,2024-08,NSW,4h,2025,True,base,277816.402
2052,2024-08,NSW,4h,2025,True,base,271164.557
2053,2024-08,NSW,4h,2025,True,base,266232.811
2054,2024-08,NSW,4h,2025,True,base,262938.564
2055,2024-08,NSW,4h,2025,True,base,262051.431
2056,2024-08,NSW,4h,2025,True,base,256269.671
2057,2024-08,NSW,4h,2025,True,base,258389.281
2058,2024-08,NSW,4h,2025,True,base,255813.355
2059,2024-08,NSW,4h,2025,True,base,247348.149
2060,2024-08,NSW,4h,2025,True,base,241390.93
2025,2024-08,QLD,1h,2025,True,base,99357.751
2026,2024-08,QLD,1h,2025,True,base,114107.914
2027,2024-08,QLD,1h,2025,True,base,114331.896
2028,2024-08,QLD,1h,2025,True,base,116234.687
2029,2024-08,QLD,1h,2025,True,base,120100.006
2030,2024-08,QLD,1h,2025,True,base,119694.151
2031,2024-08,QLD,1h,2025,True,base,105403.632
2032,2024-08,QLD,1h,2025,True,base,91852.196
2033,2024-08,QLD,1h,2025,True,base,93890.433
2034,2024-08,QLD,1h,2025,True,base,102105.093
2035,2024-08,QLD,1h,2025,True,base,103010.697
2036,2024-08,QLD,1h,2025,True,base,125758.376
2037,2024-08,QLD,1h,2025,True,base,113765.347
2038,2024-08,QLD,1h,2025,True,base,116715.589
2039,2024-08,QLD,1h,2025,True,base,106811.278
2040,2024-08,QLD,1h,2025,True,base,106418.018
2041,2024-08,QLD,1h,2025,True,base,103647.143
2042,2024-08,QLD,1h,2025,True,base,107580.715
2043,2024-08,QLD,1h,2025,True,base,97732.052
2044,2024-08,QLD,1h,2025,True,base,81488.079
2045,2024-08,QLD,1h,2025,True,base,104363.717
2046,2024-08,QLD,1h,2025,True,base,104623.013
2047,2024-08,QLD,1h,2025,True,base,100579.08
2048,2024-08,QLD,1h,2025,True,base,93314.823
2049,2024-08,QLD,1h,2025,True,base,90155.389
2050,2024-08,QLD,1h,2025,True,base,109341.861
2051,2024-08,QLD,1h,2025,True,base,108937.419
2052,2024-08,QLD,1h,2025,True,base,99386.544
2053,2024-08,QLD,1h,2025,True,base,103741.841
2054,2024-08,QLD,1h,2025,True,base,106607.169
2055,2024-08,QLD,1h,2025,True,base,95706.276
2056,2024-08,QLD,1h,2025,True,base,99806.798
2057,2024-08,QLD,1h,2025,True,base,105727.508
2058,2024-08,QLD,1h,2025,True,base,102561.949
2059,2024-08,QLD,1h,2025,True,base,102299.141
2060,2024-08,QLD,1h,2025,True,base,105990.545
2025,2024-08,QLD,2h,2025,True,base,142550.288
2026,2024-08,QLD,2h,2025,True,base,161550.855
2027,2024-08,QLD,2h,2025,True,base,158431.111
2028,2024-08,QLD,2h,2025,True,base,160358.106
2029,2024-08,QLD,2h,2025,True,base,162587.288
2030,2024-08,QLD,2h,2025,True,base,160103.006
2031,2024-08,QLD,2h,2025,True,base,144838.251
2032,2024-08,QLD,2h,2025,True,base,129706.459
2033,2024-08,QLD,2h,2025,True,base,134540.042
2034,2024-08,QLD,2h,2025,True,base,148251.763
2035,2024-08,QLD,2h,2025,True,base,149120.124
2036,2024-08,QLD,2h,2025,True,base,174027.114
2037,2024-08,QLD,2h,2025,True,base,169254.441
2038,2024-08,QLD,2h,2025,True,base,170734.133
2039,2024-08,QLD,2h,2025,True,base,154525.492
2040,2024-08,QLD,2h,2025,True,base,158304.767
2041,2024-08,QLD,2h,2025,True,base,153781.277
2042,2024-08,QLD,2h,2025,True,base,151944.453
2043,2024-08,QLD,2h,2025,True,base,141961.446
2044,2024-08,QLD,2h,2025,True,base,133602.963
2045,2024-08,QLD,2h,2025,True,base,155872.795
2046,2024-08,QLD,2h,2025,True,base,157506.796
2047,2024-08,QLD,2h,2025,True,base,152678.511
2048,2024-08,QLD,2h,2025,True,base,145672.769
2049,2024-08,QLD,2h,2025,True,base,138915.794
2050,2024-08,QLD,2h,2025,True,base,160689.701
2051,2024-08,QLD,2h,2025,True,base,158265.263
2052,2024-08,QLD,2h,2025,True,base,148583.093
2053,2024-08,QLD,2h,2025,True,base,153759.322
2054,2024-08,QLD,2h,2025,True,base,157360.009
2055,2024-08,QLD,2h,2025,True,base,149318.024
2056,2024-08,QLD,2h,2025,True,base,149509.331
2057,2024-08,QLD,2h,2025,True,base,153772.202
2058,2024-08,QLD,2h,2025,True,base,150211.109
2059,2024-08,QLD,2h,2025,True,base,152321.53
2060,2024-08,QLD,2h,2025,True,base,151319.891
2025,2024-08,QLD,4h,2025,True,base,227124.446
2026,2024-08,QLD,4h,2025,True,base,248086.023
2027,2024-08,QLD,4h,2025,True,base,237578.581
2028,2024-08,QLD,4h,2025,True,base,236284.121
2029,2024-08,QLD,4h,2025,True,base,235120.176
2030,2024-08,QLD,4h,2025,True,base,228541.742
2031,2024-08,QLD,4h,2025,True,base,210536.541
2032,2024-08,QLD,4h,2025,True,base,195841.319
2033,2024-08,QLD,4h,2025,True,base,201423.089
2034,2024-08,QLD,4h,2025,True,base,227567.051
2035,2024-08,QLD,4h,2025,True,base,223517.674
2036,2024-08,QLD,4h,2025,True,base,260221.567
2037,2024-08,QLD,4h,2025,True,base,251983.752
2038,2024-08,QLD,4h,2025,True,base,253174.157
2039,2024-08,QLD,4h,2025,True,base,239023.521
2040,2024-08,QLD,4h,2025,True,base,238751.205
2041,2024-08,QLD,4h,2025,True,base,233329.26
